date,apple_driving,apple_walking,apple_transit,apple,google_retail,google_grocery,google_workplaces,google_residential,google,telco,applegoogle
2020-02-18,0.0,0.0,0.0,0.0,-0.2735272725862352,-0.4390444782917521,-0.9797995059056143,0.0,-0.6113248085326827,0.0,-0.30566240426634134
2020-02-19,-0.019127009059053995,-0.03257123218971838,-0.0023692578408944865,-0.018975950889582188,-0.31375187149597566,-0.49392503807822113,-0.9580261835521562,0.03189525072047866,-0.6361082467164402,-0.0031877458994440276,-0.32754209880301116
2020-02-20,-0.01237882833484884,0.0004506711372157427,-0.006318020909053112,-0.006070540447248569,-0.257437433022339,-0.40245743843410614,-0.8927062164917818,0.0,-0.5617579321651679,0.04465487129964614,-0.2839142363062082
2020-02-21,0.0014613894561962592,0.006719096954860807,0.06294792891006287,0.022826995919072262,-0.24939251324039094,-0.3841639185052831,-0.7947262659012204,-0.03189525072047869,-0.5163216288282793,0.08678284630947541,-0.2467473164546035
2020-02-22,0.05660735040623035,0.02085378262209626,0.016770629030651928,0.03214593694462978,-0.24939251324039094,-0.42075095836292914,-0.7076329764873881,-0.03189525072047869,-0.4915381906445219,0.10400785119592994,-0.22969612684994606
2020-02-23,0.060217842003894566,0.002744996926680674,0.0036235708154871535,0.022724105403017364,-0.257437433022339,-0.42075095836292914,-0.6205396870735557,-0.03189525072047869,-0.4626241794301382,0.13892745406833099,-0.21995003701356042
2020-02-24,0.10375865139000934,0.04551778485883931,0.014354915153660778,0.05635460550786939,-0.22525775389454664,-0.3475768786476371,-0.5225597364829943,-0.06379050144095733,-0.39240443790949225,0.19125317551265583,-0.16802491620081145
2020-02-25,0.11875938433744587,0.10615353786611352,0.04622375591550803,0.09332169806193552,-0.07240427803753285,-0.27440279893234504,-0.4136931247157038,-0.15947625360239323,-0.25609552789882645,0.256340504868669,-0.08138691491844546
2020-02-26,0.1617844092096081,0.1719105537963,0.04380804203851688,0.13086203777688105,0.08044919781948096,-0.23781575907469904,-0.3919198023622457,-0.1913715043228719,-0.1610923481944231,0.3246371311573872,-0.015115155208771033
2020-02-27,0.1907972881194082,0.20030283544092253,0.07168166369610884,0.15978897143350212,0.25743743302233907,-0.27440279893234504,-0.3810331411855167,-0.22326675504335053,-0.07435031455127217,0.3654465029239039,0.04271932844111498
2020-02-28,0.1978033611005896,0.22603206036563103,-0.017885573896955036,0.14307661189713064,0.3781112297515604,-0.3292833587188141,-0.3919198023622457,-0.2551620057638292,-0.028914011214383615,0.385588602785389,0.057081300341373514
2020-02-29,0.1549502643997444,0.2683541771605733,0.014354915153660778,0.15380662285715796,0.4746502671349377,-0.3292833587188141,-0.3919198023622457,-0.2870572564843078,0.02065286515313123,0.411744486646474,0.08722974400514459
2020-03-01,0.1582598816976031,0.30260518358900623,0.021509144712442623,0.169490077232979,0.5711893045183147,-0.3841639185052831,-0.4028064635389747,-0.2870572564843078,0.053697449398141105,0.4240472093061238,0.11159376331556005
2020-03-02,0.13663991415444848,0.33050582399302936,-0.0043668673930221304,0.16391929072085515,0.6516385023377957,-0.4390444782917521,-0.4136931247157038,-0.31895250720478646,0.07848088758189853,0.42604954891510716,0.12120008915137684
2020-03-03,0.12481985237638216,0.3073577155814682,-0.02387840255333625,0.1453989978309455,0.5631443847363666,-0.5488055978646901,-0.4354664470691619,-0.2551620057638292,6.787068779575497e-17,0.38642972074319604,0.07269949891547278
2020-03-04,0.12744175698897126,0.38790493883302346,-0.051752024210929504,0.16637396446102665,0.5631443847363666,-0.5122185580070441,-0.4136931247157038,-0.2551620057638292,0.016522292122504972,0.40659502676779014,0.09144812829176581
2020-03-05,0.11802868960934773,0.3809809913612476,-0.05574724331518393,0.1594068066595835,0.514874866044678,-0.5122185580070441,-0.4354664470691619,-0.22326675504335053,-0.016522292122504903,0.3997344042062711,0.07144225726853931
2020-03-06,0.1079708915872839,0.38856046048715687,-0.07126355937124448,0.15377722556685697,0.46660534735298953,-0.5122185580070441,-0.4463531082458909,-0.1913715043228719,-0.04543630333688855,0.38012926441287165,0.054170461114984206
2020-03-07,0.0852333909305664,0.3181328527712758,-0.1508892052397651,0.0955411934796955,0.4263807484432491,-0.5305120779358672,-0.46812643059934905,-0.1275810028819146,-0.07848088758189843,0.3553368855219533,0.008530152948898535
2020-03-08,0.013711271662557319,0.2718776060515364,-0.28542588577374434,0.011920601217236114,0.418335828661301,-0.3475768786476371,-0.48989975295280713,-0.09568575216143595,-0.04956687636751478,0.364929247778252,-0.018823137575139332
2020-03-09,-0.15202748548735084,0.07190253143768058,-0.5334082064541246,-0.19496282927918057,0.2815721923681833,0.09146759964411504,-0.7729529435477623,0.2551620057638291,-0.12804776394941322,0.22694377515438016,-0.1615052966142969
2020-03-10,-0.33689325169631196,-0.16650250014970533,-0.8375558747745527,-0.43994514800626944,0.05631443847363667,0.018293519928823037,-1.2084193906169243,0.7016955158505301,-0.4254490221545022,0.038068953742705414,-0.43269708508038585
2020-03-11,-0.538951835037006,-0.3852009120097268,-1.1325052479479747,-0.6808265447363067,-0.22525775389454664,-0.10976111957293802,-1.3608326470911307,0.9249622708938808,-0.6567611118695713,-0.0720499689963287,-0.668793828302939
2020-03-12,-0.7410534004205291,-0.494222357112671,-1.4386505258205309,-0.8859167405243349,-0.5390096253905223,-0.3841639185052831,-1.5676792094489826,1.1482290259372312,-0.9582929431052865,-0.20156870748729366,-0.9221048418148107
