date,apple_driving,apple_transit,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google,applegoogle
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13266458038140105,0.0,0.0
2020-02-19,-0.017453350705791366,-0.016318070242488367,-0.04435556417591657,-0.02727552353912605,-0.024059172892338766,0.03633658903437868,0.0,-0.13266458038140105,0.0,-0.013637761769563024
2020-02-20,-0.06969426732346737,-0.06841843847171976,-0.09670217046923958,-0.0819852201950096,-0.07217751867701629,0.16351465065470408,0.0,-0.09949843528605079,0.01645160622003791,-0.032766806987485846
2020-02-21,-0.10611994635620271,-0.16389383145862002,-0.15401237561082154,-0.14455417285053485,-0.09623669156935503,0.36336589034378686,-0.14378097562731662,-0.03316614509535026,0.024677409330056844,-0.059938381760239
2020-02-22,-0.1663429414536607,-0.3179297027450441,-0.28345317678133325,-0.2589161106962383,-0.15036983057711728,0.3997024793781655,-0.29714734962978767,0.049749217643025395,-0.03290321244007582,-0.14590966156815707
2020-02-23,-0.2531033691089006,-0.5115232610203277,-0.45964333448011147,-0.411866507347632,-0.22856214247721826,0.36336589034378686,-0.42175752850679543,0.1492476529290762,-0.11516124354026532,-0.26351387544394866
2020-02-24,-0.34397397150372994,-0.7210573506378891,-0.6687833398524288,-0.5825612490665375,-0.30073966115423456,0.32702930130940816,-0.5463677073838031,0.24874608821512703,-0.1946773402704485,-0.388619294668493
2020-02-25,-0.45655701871856197,-0.9292490797213635,-0.8994322735671928,-0.7692185790580053,-0.35487280016199674,0.29977685953362415,-0.6613924878856564,0.34824452350117785,-0.2604837651506001,-0.5148511721043028
2020-02-26,-0.5731906729231344,-1.1410484027401946,-1.186968978479007,-0.9783065185639748,-0.40900593916975897,0.25435612324065077,-0.7476610732620463,0.4145768136918784,-0.3235482556607454,-0.6509273871123601
2020-02-27,-0.6664142014370033,-1.3258746687772265,-1.4116686341416054,-1.1481714009537258,-0.49321304429294466,0.06358903081016269,-0.805173463512973,0.48090910388257885,-0.43596756483100435,-0.7920694828923651
2020-02-28,-0.7157065144371478,-1.4479875286124058,-1.5655754012662932,-1.257249087482901,-0.5473461833007068,-0.20893538694767746,-0.7572464716372008,0.49749217643025395,-0.5291933334112192,-0.89322121044706
2020-02-29,-0.7357808461363007,-1.5127983731487684,-1.6504846241173328,-1.3137649485610625,-0.5533609765237916,-0.2634402704992455,-0.6901486830111196,0.48090910388257885,-0.5291933334112193,-0.9214791409861409
2020-03-01,-0.748170938104917,-1.5667025383456787,-1.690017400759836,-1.3482285183483065,-0.5172722171852834,-0.20893538694767746,-0.6518070895105019,0.44774295878722864,-0.48532238349111817,-0.9167754509197124
2020-03-02,-0.7713725766711479,-1.6281994303135154,-1.7485949077350145,-1.395933225961033,-0.5293018036314527,-0.18168294517189343,-0.6901486830111196,0.4643260313349037,-0.4935481866011371,-0.9447407062810851
2020-03-03,-0.8102405334476975,-1.7096219864591982,-1.821499965995588,-1.4608209032127253,-0.5714053561930456,-0.16351465065470408,-0.738075674886892,0.5140752489779291,-0.5209675303012002,-0.9908942167569628
2020-03-04,-0.8581330043263878,-1.811725284583151,-1.906197971874362,-1.5395110937184442,-0.6255384952008078,-0.13626220887892007,-0.7955880651378187,0.5638244666209546,-0.553870742741276,-1.04669091822986
2020-03-05,-0.9021237875899614,-1.9058163682692748,-1.9539682104352496,-1.6014698556907676,-0.7037308071009087,-0.06358903081016269,-0.8435150570135909,0.5969906117163047,-0.5812900864413392,-1.0913799710660534
2020-03-06,-0.9819743562627036,-2.0293554861719207,-2.038736621971445,-1.6995152946676522,-0.8059822918933485,-0.00908414725859467,-0.9872960326409073,0.6964890470023556,-0.6525803800615034,-1.1760478373645777
2020-03-07,-1.1262474463972665,-2.2089381563726773,-2.1821529461402416,-1.8605934312192953,-1.0225148479243975,-0.01816829451718934,-1.2077601952694594,0.8954859175744573,-0.8170964422618825,-1.338844936740589
2020-03-08,-1.2871399387397333,-2.3869687222058964,-2.3392279678489234,-2.0327648343915485,-1.2931805429632084,-0.1544305033961094,-1.485736748148938,1.144232005789584,-1.0611286011924446,-1.5469467177919967
2020-03-09,-1.463609397667744,-2.581569050881745,-2.5096800644678017,-2.2207767876997244,-1.6420385499021204,-0.3633658903437869,-1.7828840977787261,1.4261442391000616,-1.368225250633152,-1.7945010191664381
2020-03-10,-1.6517839194411066,-2.7719745028885736,-2.699036080104511,-2.418917906349052,-2.002926143287202,-0.6177220135844376,-2.127958439284286,1.757805690053564,-1.7082251125139354,-2.0635715094314935
2020-03-11,-1.8523485331830856,-2.9441322413851645,-2.9099714297410912,-2.6243080903148184,-2.387872909564622,-1.0174244929626033,-2.540130569415927,2.0728840684593917,-2.122257202384889,-2.3732826463498538
2020-03-12,-2.0095776089098316,-3.093302055735524,-3.0368424244156964,-2.7761113284817918,-2.7367309165035345,-1.5897257702540675,-2.971473496297876,2.338213229222194,-2.577418307805938,-2.676764818143865
2020-03-13,-2.1145955518938258,-3.205766699231957,-3.1219628642390025,-2.8813692213341233,-3.007396611542345,-1.9167550715634758,-3.2973770410531276,2.603542389984996,-2.8927407603566646,-2.887054990845394
2020-03-14,-2.1679682557586353,-3.2571958871941447,-3.1714932442354424,-2.935371096797493,-3.2118995811272244,-2.271036814648668,-3.5849389923077606,2.8191223331047723,-3.175160000467316,-3.0552655486324047
2020-03-15,-2.2033217152940865,-3.2940269043481423,-3.213807044346118,-2.9752409560379065,-3.3742989981505116,-2.534477085147913,-3.814988553311468,3.001536131129199,-3.3945147500678208,-3.1848778530528636
