date,apple_driving,apple_transit,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google,applegoogle
2020-02-18,0.0,0.0,0.0,0.0,-0.13715850389578174,-0.3224312436584708,-0.44589180792274297,0.0,-0.3059305547715239,-0.15296527738576196
2020-02-19,0.024870672349646388,0.07029691144303786,-0.005093452079307017,0.027625838071208973,-0.1676381714281777,-0.36273514911577964,-0.41404239307111845,0.02987775740112234,-0.3180067608809262,-0.1451904614048586
2020-02-20,0.0443700016691509,0.061678357663116204,0.03069837334285279,0.045576733462201126,-0.1066788363633858,-0.26197538547250754,-0.3503435633678694,0.0,-0.24152412218804523,-0.09797369436292205
2020-02-21,0.05199821151867996,0.04620013862978651,0.04455623395502217,0.04906578073538026,-0.09905891948028682,-0.26197538547250754,-0.3078776768990368,-0.02987775740112232,-0.22139711200570808,-0.08616566563516391
2020-02-22,0.06666784584469627,0.0027555920248738164,0.004175712965918988,0.02722131085112984,-0.12953858701268275,-0.3425831963871252,-0.26541179043020413,-0.02987775740112232,-0.23749872015157775,-0.10513870465022396
2020-02-23,0.06603592313526786,-0.04449987972082118,-0.03868270362933458,-0.0023428868162894217,-0.14477842077888073,-0.3828871018444341,-0.22294590396137148,-0.02987775740112232,-0.23749872015157775,-0.11992080348393358
2020-02-24,0.0635985069703297,-0.14821567316763876,-0.05983659019294403,-0.04084039392711317,-0.13715850389578174,-0.3425831963871252,-0.16986354587533065,-0.05975551480224466,-0.20529550385983844,-0.1230679488934758
2020-02-25,0.09000384875715939,-0.20321025442999965,-0.0488237208322792,-0.04274504292165026,-0.015239833766197978,-0.3425831963871252,-0.1167811877892898,-0.11951102960448932,-0.12076206109402261,-0.08175355200783643
2020-02-26,0.118666057363377,-0.22455143521837825,0.003349747763868589,-0.019012779343700437,0.10667883636338579,-0.36273514911577964,-0.08493177293766532,-0.14938878700561165,-0.04830482443760904,-0.03365880189065474
2020-02-27,0.14001601747477938,-0.2257826571869384,0.03698488626956598,0.0009607521476869561,0.2590771740253655,-0.46349491275905175,-0.07431530132045716,-0.14938878700561165,0.016101608145869663,0.00853118014677831
2020-02-28,0.13812024934649414,-0.24929313382468488,0.055890312005373366,0.0004382378217510026,0.3581360935056523,-0.5441027236736695,-0.07431530132045716,-0.14938878700561165,0.052330226474076424,0.026384232147913713
2020-02-29,0.12769352464092573,-0.2592601688082685,0.08984665920075509,0.006152184805364058,0.4571950129859391,-0.5844066291309783,-0.08493177293766532,-0.17926654440673395,0.09258424683875062,0.04936821582205734
2020-03-01,0.12421794973906909,-0.28529171900068623,0.10732958931081041,0.0037924426882373825,0.541014098700028,-0.6448624873169416,-0.0955482445548735,-0.20914430180785631,0.12076206109402257,0.062277251891129974
2020-03-02,0.11744734928090754,-0.2957277909246745,0.10898151971490959,-0.0011293051560537762,0.6019734337648198,-0.7254702982315593,-0.10616471617208165,-0.20914430180785631,0.13283826720342484,0.06585448102368553
2020-03-03,0.09302805029513934,-0.33014337642681124,0.062360372754763436,-0.03726707014975128,0.52577426493383,-0.806078109146177,-0.1167811877892898,-0.17926654440673395,0.07245723665641356,0.017595083253331138
2020-03-04,0.08228536423485559,-0.3944014372621496,0.09897816337897324,-0.04630151139817533,0.52577426493383,-0.7657742036888682,-0.10616471617208165,-0.20914430180785631,0.08453344276581581,0.019115965683820242
2020-03-05,0.06653243383553342,-0.4444711306502678,0.07419920731747745,-0.07568030075639227,0.4495750961028401,-0.7859261564175225,-0.13801413102370616,-0.20914430180785631,0.028177814255271928,-0.023751243250560175
2020-03-06,0.05822716394018859,-0.47366868019041247,0.04148180792517012,-0.09919344542346704,0.4038555948042462,-0.7859261564175225,-0.15924707425812248,-0.17926654440673395,-0.004025402036467416,-0.05160942372996723
2020-03-07,0.02599910575934036,-0.5424998511946881,-0.016565190996666472,-0.15233820896130787,0.3505161766225533,-0.7657742036888682,-0.1804800174925388,-0.11951102960448932,-0.03622861832820678,-0.09428341364475733
2020-03-08,-0.05971669604098375,-0.6837385998738197,-0.10732958931081081,-0.25829063002025593,0.32003650909015735,-0.5642546764023239,-0.2123294323441633,-0.05975551480224466,-0.024152412218804528,-0.14122152111953024
2020-03-09,-0.2543940278813196,-1.0022733120256344,-0.38719413193869917,-0.5253628717763872,0.16001825454507868,-0.060455858185963274,-0.5308235808604084,0.29877757401122323,-0.12881286516695747,-0.3270878684716723
2020-03-10,-0.48838597971537906,-1.4129737829668196,-0.7347419341790064,-0.8584741822103689,-0.1066788363633858,-0.14106366910058096,-1.0085648036347756,0.7768216924291804,-0.4669466362302207,-0.6627104092202948
2020-03-11,-0.7217460088400108,-1.8251399943467685,-1.0854559363605043,-1.1929339167112794,-0.4190954285704442,-0.2821273382011619,-1.1890448211273144,1.0457215090392815,-0.7285977686006031,-0.9607658426559412
2020-03-12,-0.9384052235011772,-2.1967345103817775,-1.288413941286419,-1.4552192530298136,-0.7543717714267996,-0.6045585818596327,-1.4013742534714777,1.2847435682482602,-1.0506299315179966,-1.2529245922739052
2020-03-13,-1.1145311100861504,-2.555899547496082,-1.478707146447569,-1.6941431423888016,-0.9753493610366701,-0.7859261564175225,-1.9321978343318864,1.7627876866662178,-1.4048653107271294,-1.5495042265579655
2020-03-14,-1.3048752576332627,-2.9250902492115194,-1.6791872557673344,-1.945000584740111,-1.1887070337634418,-0.7859261564175225,-2.4842543584267105,2.2408318050841745,-1.726897473644523,-1.835949029192317
