date,apple_driving,apple_walking,apple_transit,apple,google_retail,google_grocery,google_workplaces,google_residential,google,telco,applegoogle
2020-02-18,0.0,0.0,0.0,0.0,-0.2398593866027822,-0.36531473771518425,-0.02017265537775096,0.0,-0.21771036733925925,0.0,-0.10885518366962962
2020-02-19,0.029024530688156882,0.001311013959099561,0.03519393621905707,0.020496252327159268,-0.2598476688196807,-0.3835804746009434,0.030258983066626444,0.03164771331850144,-0.21395674031616857,0.019761550242383984,-0.09673024399450465
2020-02-20,0.038910778287594296,0.009354261762221141,-0.026656056064362253,0.01035571803931314,-0.21987110438588367,-0.2922517901721474,0.09077694919987933,0.0,-0.15014508092362708,0.06841474137377504,-0.06989468144215696
2020-02-21,0.037306594714855645,0.03451155665304146,-0.02983294170331777,0.018465455672697455,-0.2132083436469175,-0.3287832639436658,0.10086327688875481,0.0,-0.15014508092362708,0.0760306506612567,-0.06583981262546482
2020-02-22,0.033687855027513675,-0.013677064546277462,-0.08091130611715287,-0.014968719711369677,-0.2398593866027822,-0.4018462114867027,0.10086327688875481,0.0,-0.1801740971083525,0.04489477292303635,-0.09757140840986109
2020-02-23,0.03282980334907281,-0.03238558807071887,-0.1062767523906905,-0.029251541214941827,-0.24652214734174835,-0.4566434221439803,0.09077694919987933,0.03164771331850144,-0.19894223222380586,0.013671293061062892,-0.11409688671937385
2020-02-24,0.02492080526952327,-0.017929001710923223,-0.142413826533811,-0.036406400951194504,-0.20654558290795136,-0.42011194837246185,0.09077694919987933,0.0,-0.16891321603908047,0.01944089581344575,-0.10265980849513748
2020-02-25,0.036187396873409286,0.02816908371577853,-0.1360600552558995,-0.01312620883943958,-0.06662760738966172,-0.4018462114867027,0.10086327688875481,-0.03164771331850146,-0.08257979450799487,0.06268141097355484,-0.04785300167371723
2020-02-26,0.06711456389202511,0.09637724239863842,-0.15700764493776395,0.018236822936764017,0.0666276073896617,-0.3835804746009434,0.14120858764425673,-0.09494313995550437,0.011260881069272052,0.11516048164885996,0.014748852003018034
2020-02-27,0.09099078450953225,0.14350287930679606,-0.151944483450678,0.046103118751642275,0.24652214734174835,-0.4566434221439803,0.1714675707108832,-0.15823856659250726,0.10885518366962967,0.15256031650963234,0.07747915121063598
2020-02-28,0.08621554038603108,0.16139644820801413,-0.16336141621567454,0.04808011946823908,0.35312631916520704,-0.511440632801258,0.15129491533313222,-0.1898862799110087,0.1501450809236271,0.16967630075844542,0.0991126001959331
2020-02-29,0.09412453846557997,0.22988806936851683,-0.16018453057671903,0.07778892615504708,0.4730560124665981,-0.5297063696870172,0.14120858764425673,-0.22153399322951015,0.21020311329307792,0.20111944652402813,0.1439960197240625
2020-03-01,0.09699714625862416,0.2871829226621198,-0.14335696445787666,0.10513071157572564,0.5729974235510908,-0.5662378434585356,0.13112225995538124,-0.25318170654801164,0.25524663757016613,0.22307225348013354,0.18018867457294588
2020-03-02,0.10427193222802159,0.31219848631411784,-0.13194003169287968,0.12034151300749553,0.6529505524186849,-0.6393007910015724,0.12103593226650579,-0.25318170654801164,0.28152202673180077,0.23506712706853597,0.20093176986964814
2020-03-03,0.09598986820132217,0.27577355793698577,-0.18808155759379985,0.08831948099242587,0.5663346628121245,-0.7488952123161277,0.10086327688875481,-0.22153399322951015,0.20269585924689654,0.19095987294486058,0.1455076701196612
2020-03-04,0.06274969231038664,0.28601363994184137,-0.22769335040452876,0.0694909027391293,0.5663346628121245,-0.7488952123161277,0.08069062151100387,-0.22153399322951015,0.19518860520071524,0.19840265867836393,0.13233975396992226
2020-03-05,0.03943307061360203,0.2583760483716442,-0.27941701971377575,0.03658123774926154,0.48638153394453054,-0.7854266860876461,0.050431638444377404,-0.1898862799110087,0.13137694580817372,0.16082445056844272,0.08397909177871762
2020-03-06,0.03976882996603516,0.23863997336574574,-0.37045464880510054,0.004545756749724752,0.45973049098866586,-0.7854266860876461,0.050431638444377404,-0.15823856659250726,0.11636243771581103,0.14598541509235513,0.060454097232767894
2020-03-07,0.01708642037940331,0.16681766809293777,-0.4747954865095514,-0.05916208266874972,0.4130911658159027,-0.7854266860876461,0.04034531075550192,-0.09494313995550437,0.08633342153108564,0.12166294226514535,0.01358566943116796
2020-03-08,-0.05379610957882228,0.0942158410066104,-0.6682876774571975,-0.1646962637784741,0.386440122860038,-0.6393007910015724,0.02017265537775096,-0.06329542663700291,0.09384067557726695,0.11935585799541915,-0.03542779410060357
2020-03-09,-0.2109314865177931,-0.10179846228356175,-0.9128582328186783,-0.36200631488855,0.25984766881968063,-0.18265736885759212,-0.24207186453301155,0.25318170654801164,0.018768135115453395,-0.05524636301563279,-0.1716190898865483
2020-03-10,-0.4133570694406003,-0.3124465159820558,-1.1913321146083893,-0.5903835201165644,0.0466393251727632,-0.23745457951486976,-0.6455249720880307,0.696249693007032,-0.2627538916163473,-0.2915801735513854,-0.42656870586645584
2020-03-11,-0.6169391567995667,-0.5315984440098417,-1.4549143449654953,-0.818370704795046,-0.22653386512484985,-0.36531473771518425,-0.7867335597322875,0.9494313995550435,-0.4954787670479694,-0.46026165648687506,-0.6569247359215077
2020-03-12,-0.8018679468011056,-0.6384283652715671,-1.743862021596138,-1.0038725475434125,-0.49970705542246285,-0.6575665278873316,-0.9783737858209216,1.2026131061030552,-0.7807544208028608,-0.6094958886605184,-0.8923134841731366
2020-03-13,-0.9487440101934924,-0.754045623340228,-1.969718734990645,-1.1618981150264323,-0.6995898775914481,-0.8219581598591645,-1.4423448595091937,1.6456810925620753,-1.0998127177655685,-0.8577453172833125,-1.1308554163960003
