date,apple_driving,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google,telco,applegoogle
2020-02-18,0.0,0.0,0.0,0.0,-0.3831187759875747,-2.462332920232848,0.0,-0.8791641734773868,0.0,-0.4395820867386934
2020-02-19,-0.032689109134227505,-0.06524153811633106,-0.04940475349534266,-0.07886840266268062,-0.47889846998446844,-2.506699279155962,0.0,-0.9625331899278285,-0.04317061648214716,-0.5059689717115856
2020-02-20,-0.010776018983925176,-0.008287219038437517,-0.009561321507464462,0.0,-0.35119221132194356,-2.429058151040512,-0.06232206352946592,-0.8602166697386501,0.016933470600240155,-0.4348889956230573
2020-02-21,-0.00672112524255152,0.03114477743203862,0.01250962525760483,-0.006572366888556721,-0.30330236432349666,-2.1739515872326045,-0.1869661905883975,-0.7654791510449661,0.11087932170597628,-0.37648476289368066
2020-02-22,-8.331973441124214e-5,0.04939832524872908,0.025088136116848462,-0.04600656821989703,-0.30330236432349666,-1.9299366131554754,-0.2804492858825962,-0.7048471390810084,0.20377975837064818,-0.33987950148207996
2020-02-23,-0.0076654155658852875,0.04078611722839166,0.016945858003143507,-0.08544076955123735,-0.35119221132194356,-1.6859216390783465,-0.3427713494120621,-0.6555836293602927,0.2880372473011671,-0.3193188856785746
2020-02-24,-0.0039715740069619365,0.0711455046208398,0.034222366894152444,-0.07886840266268062,-0.31926564665631224,-1.4086318958088817,-0.46741547647099374,-0.5494776084233668,0.40271687590439065,-0.25762762076460716
2020-02-25,0.038632583522269406,0.1833208682064951,0.11242130187451098,0.06572366888556717,-0.20752267032660296,-1.1313421525394165,-0.6232206352946583,-0.3448445680450095,0.5483562708733757,-0.11621163308524926
2020-02-26,0.06657246779502536,0.23683572055928495,0.1535046746918874,0.19717100665670156,-0.19155938799378736,-1.0647926141547452,-0.6232206352946583,-0.2425280478558309,0.608876418987305,-0.04451168658197176
2020-02-27,0.0649893928412008,0.23128382545183432,0.1498950691660148,0.2760394093193822,-0.27137579965786546,-1.0647926141547452,-0.5920596035299254,-0.21600154262159937,0.6201314942516174,-0.033053236727792284
2020-02-28,0.06279530650169028,0.23905647860226487,0.15276071019418824,0.34833544509350606,-0.28733908199068103,-1.0647926141547452,-0.5920596035299254,-0.17810653514412583,0.6440295807167361,-0.012672912474968795
2020-02-29,0.07446006931934142,0.25284142791783665,0.16555965497867595,0.42720384775618675,-0.31926564665631224,-1.0758842038855236,-0.5920596035299254,-0.1440010284143996,0.6380152786103865,0.010779313282138173
2020-03-01,0.09787291468905587,0.30779164827401595,0.20512754455999962,0.49949988353031066,-0.31926564665631224,-1.0758842038855236,-0.5920596035299254,-0.10231652018917868,0.6426945673428021,0.05140551218541047
2020-03-02,0.10659371355749103,0.37498312028174446,0.243634595876085,0.5652235524158779,-0.30330236432349666,-1.0869757936163023,-0.5920596035299254,-0.06442151271170513,0.6543245669827454,0.08960654158218993
2020-03-03,0.09376247445807441,0.34335085937685644,0.22117788974183825,0.48635514975319716,-0.36715549365475914,-1.0758842038855236,-0.5608985717651924,-0.12126402392791548,0.6174944918064006,0.049956932906961384
2020-03-04,0.10576051621337289,0.3990052225271515,0.2554415879969737,0.49949988353031066,-0.31926564665631224,-1.0537010244239666,-0.5920596035299254,-0.09473751869368399,0.6451947717916473,0.08035203465164485
2020-03-05,0.10373306934268582,0.3704603569503095,0.23991477338758968,0.41405911397907325,-0.3352289289891279,-1.0758842038855236,-0.5920596035299254,-0.15536953065764172,0.615508323393375,0.04227262136497398
2020-03-06,0.10598270217180462,0.35672957246505405,0.23404572012796473,0.38119727953628973,-0.35119221132194356,-1.0980673833470809,-0.5608985717651924,-0.1856855366396206,0.612593318591924,0.024180091744172072
2020-03-07,0.08445843744875722,0.33064920666761666,0.21010108499832011,0.3220459775392792,-0.30330236432349666,-1.120250562808638,-0.5297375400004596,-0.21600154262159943,0.5943279786233675,-0.0029502288116396574
2020-03-08,0.009942821639807987,0.24249594532736832,0.128292544492089,0.2826117762079389,-0.17559610566097175,-1.1535253320009737,-0.46741547647099374,-0.2197910433693467,0.5805529200155284,-0.04574924943862886
2020-03-09,-0.10506618509327428,0.045525539881092994,-0.028959506928949278,0.14459207154824782,0.2713757996578655,-1.4640898444627746,-0.15580515882366458,-0.29937055907204124,0.4188829418005598,-0.16416503300049526
2020-03-10,-0.2428492525655802,-0.12387496693403874,-0.1834836885250906,-0.09201313643979406,0.19155938799378736,-1.9521197926170326,0.2804492858825962,-0.6214781226305666,0.216944587557687,-0.40248090557782856
2020-03-11,-0.3869368466083788,-0.2920838474822051,-0.3405290831412122,-0.3877696464248464,0.11174297632970932,-2.140676818040269,0.5297375400004594,-0.8753746727296394,0.07808490872385958,-0.6079518779354258
2020-03-12,-0.5178043761245057,-0.36119817096617246,-0.4406060852020513,-0.6506643219671151,-0.09577969399689368,-2.373600202386619,0.7790257941183228,-1.155797728062944,-0.0530747706081206,-0.7982019066324976
2020-03-13,-0.618898987210818,-0.4405496473799746,-0.5311217657554259,-0.8346905948467033,-0.20752267032660296,-2.9059965094639915,1.2152802388245834,-1.4703262901259744,-0.2653192020393266,-1.0007240279407001
2020-03-14,-0.7274923743941919,-0.5383171661014178,-0.6347257106201714,-1.025289234614848,-0.23944923499223422,-3.449484406272143,1.6826957152955773,-1.7734863499457632,-0.4888688356113611,-1.2041060302829671
2020-03-15,-0.807340453205496,-0.6242225869835275,-0.7180359572421288,-1.3144733777113438,-0.5746781639813621,-4.0040638928110726,2.1812722235313036,-2.209278935936709,-0.7523090578413358,-1.4636574465894188
