family_std,family,strangers,friends,colleagues,total_std,total,date,strangers_std,friends_std,colleagues_std
0.08134361836108035,0.7549927296174056,0.9789137854823649,0.20950240299894607,0.4755743618913775,0.8246374979819742,2.3310711529057038,2020-04-12,0.519110455122206,0.16219728810008033,0.13419512018521132
0.0770634874163348,0.7599877073516973,0.9700122125136654,0.20759855019393614,0.4772087126021318,0.777131022840055,2.338002042578598,2020-04-13,0.4813385173882973,0.15457991145855485,0.12563633552585796
0.07318629132317292,0.7651864823215359,0.9640228663009762,0.20702367421323498,0.48023145644520215,0.734339722010109,2.3500001200765848,2020-04-14,0.4484692087244445,0.14753409324104874,0.11795457868066415
0.06974647980869607,0.7706533149172744,0.9609254585974587,0.20780152687014652,0.4846265078810059,0.69662836878918,2.3671810342815345,2020-04-15,0.42086734608908355,0.1410849938761277,0.11120583406213365
0.06676991642522108,0.7764569071092376,0.9606948268349829,0.20995326921085167,0.49037222182494977,0.6642641304204664,2.3896680407238504,2020-04-16,0.3987193413932115,0.13525356931288832,0.10543172811380255
0.06427137752322865,0.782669469361013,0.9633051852723615,0.21349736979993117,0.49744157133716294,0.6373852390738792,2.4175922816601103,2020-04-17,0.38198855454400205,0.1300551015680691,0.10065329644687326
0.062252538869602095,0.7893656620324457,0.9687342382056863,0.21844951051116546,0.5058023651347396,0.615975309081725,2.4510926264146464,2020-04-18,0.37039695221778657,0.1254976761358917,0.09686521884387893
0.06070093655562784,0.7966214303357569,0.9769669864877679,0.2248225003109514,0.5154175029382999,0.5998502498726567,2.490315030389122,2020-04-19,0.36344633655902736,0.12158077351814896,0.09403208309502196
0.05959028004628612,0.8045127550403355,0.9879990862792463,0.23262619749235047,0.5262452662723687,0.5886632185583457,2.5354113907945948,2020-04-20,0.3604782254719013,0.11829418017512078,0.0920881282306311
0.05888221760919205,0.8131143435846203,1.001839654699919,0.2418674407857555,0.5382396419725611,0.5819288856400993,2.5865378989277605,2020-04-21,0.36075556161845873,0.11561742508477453,0.09094110547216872
0.05852929929292085,0.8224982879733201,1.0185134580451702,0.2525499897374912,0.5513506753164121,0.5790629850452133,2.6438529114742755,2020-04-22,0.363542600553281,0.11351989852969699,0.09047965430989868
0.05847860044347938,0.8327327167739722,1.0380624611618718,0.2646744747106704,0.5655248493934929,0.5794291727001701,2.707514385534961,2020-04-23,0.3681647858441133,0.11196171235786763,0.0905825457509047
0.058675375426466454,0.8438804686760302,1.0605467578722516,0.27823835682337283,0.5807054870679536,0.5823843672651093,2.777676942454524,2020-04-24,0.3740420282660475,0.11089523798120621,0.09112781757522265
0.059066218324518076,0.8559978144668687,1.0860449384565407,0.2932358980979497,0.5968331716663459,0.5873158721110865,2.8544886427710274,2020-04-25,0.38069860373486375,0.11026714483370172,0.09200025903336906
0.05960143189742481,0.8691332529765894,1.1146539779388234,0.30965814205225395,0.6138461823482864,0.5936671124548182,2.9380875675366784,2020-04-26,0.3877573649749887,0.11002069096035431,0.09309651411086314
0.06023653847207389,0.8833264046347611,1.1464887456569444,0.3274929049189743,0.6316809399893778,0.6009520490162186,3.0285983089787285,2020-04-27,0.3949260305097095,0.1100980054419482,0.09432781820586149
0.06093303257510308,0.8986070238778204,1.1816812405808954,0.3467247776334199,0.650272459326497,0.6087603194137136,3.1261284753914786,2020-04-28,0.4019813085888205,0.11044214422518833,0.09562082648990916
0.0616585548455433,0.9149941488684361,1.2203796473660673,0.3673351386831101,0.6695548030857839,0.6167558565004839,3.230765311080231,2020-04-29,0.40875428772551087,0.11099877530517668,0.09691712972788953
0.06238667727643285,0.9324954039661603,1.26274728564738,0.3893021778648851,0.6894615338337027,0.6246715536144949,3.342572522338984,2020-04-30,0.4151186651190931,0.11171743042792769,0.09817199624940753
0.06309646073810836,0.951106467248137,1.3089614912472403,0.4126009309469685,0.7099261593608213,0.6323019649290198,3.4615873854749406,2020-05-01,0.4209821477340482,0.11255232870972404,0.0993527433610617
0.06377190248880131,0.970810712235878,1.3592124255675238,0.437203325185046,0.7308825675252187,0.6394953791702855,3.587818193828233,2020-05-02,0.42628065067584103,0.113462823201447,0.1004370022251365
0.06440134973158182,0.9915790299383094,1.4137017622101595,0.46307823559295724,0.7522654466457833,0.6461460555190632,3.7212420789365366,2020-05-03,0.43097458412785966,0.11441354400738658,0.10141102949280298
0.06497692231813888,1.013369834450509,1.4726411522892162,0.4901915518206057,0.7740106877425506,0.6521870134176304,3.8618032180671076,2020-05-04,0.43504643501006796,0.11537431605944956,0.10226814295232377
0.06549396497310131,1.0361292527039956,1.5362503268223389,0.5185062554441822,0.7960557651684621,0.6575835143930746,4.00941141802192,2020-05-05,0.4384989178587611,0.11631992268672092,0.10300731171720208
0.06595053570780669,1.05979149657294,1.6047546609102432,0.5479825074273028,0.8183400924607813,0.6623272325198133,4.163941045161866,2020-05-06,0.4413531239992012,0.1172297736124585,0.10363190569274111
0.06634693023414437,1.0842794133984373,1.6783820046462066,0.5785777454661689,0.8408053505566848,0.6664310467549437,4.325230255616132,2020-05-07,0.443646291411619,0.11808752214453218,0.10414859675778616
0.06668523995649478,1.109505209073213,1.757358583603375,0.6102467908879586,0.8633957858615593,0.6699243742369297,4.493080469015185,2020-05-08,0.44542901626000697,0.11888066354458568,0.10456639975944762
0.06696894162095365,1.1353713360819286,1.8419037899689847,0.6429419647292821,0.8860584760253031,0.6728489768230571,4.667256024818244,2020-05-09,0.4467619074692742,0.11960013596914182,0.10489584135048423
