family,colleagues,friends,strangers,date,nrow,total
0.6140350877192983,0.6198830409356725,0.17251461988304093,0.9269005847953217,2020-04-10,342,2.3333333333333335
0.7723577235772358,0.29065040650406504,0.24796747967479674,0.5467479674796748,2020-04-12,492,1.8577235772357723
0.8148893360160966,0.5955734406438632,0.23541247484909456,1.1207243460764587,2020-04-16,497,2.766599597585513
0.6923076923076923,0.4846153846153846,0.14423076923076922,0.9211538461538461,2020-04-19,520,2.2423076923076923
0.8594377510040161,0.5301204819277109,0.25100401606425704,1.3855421686746987,2020-04-23,498,3.0261044176706826
0.7288801571709234,0.6483300589390962,0.27111984282907664,0.7426326129666012,2020-04-26,509,2.3909626719056973
0.9282786885245902,0.6926229508196722,0.27459016393442626,1.110655737704918,2020-05-03,488,3.0061475409836067
1.0734126984126984,0.9821428571428571,0.5813492063492064,1.9464285714285714,2020-05-10,504,4.583333333333333
1.469758064516129,1.0362903225806452,1.1169354838709677,2.975806451612903,2020-05-17,496,6.598790322580645
1.5126705653021442,1.2319688109161793,1.0662768031189085,2.884990253411306,2020-05-24,513,6.695906432748538
1.936046511627907,1.3546511627906976,1.682170542635659,5.625968992248062,2020-05-31,516,10.598837209302326
1.6235294117647059,1.3098039215686275,1.7705882352941176,5.874509803921568,2020-06-07,510,10.57843137254902
1.7431372549019608,1.6784313725490196,2.0058823529411764,6.568627450980392,2020-06-14,510,11.996078431372549
1.769980506822612,1.6510721247563354,2.3001949317738792,4.53411306042885,2020-06-21,513,10.255360623781677
1.9015748031496063,1.797244094488189,2.27755905511811,5.852362204724409,2020-07-05,508,11.828740157480315
1.7426326129666012,1.6679764243614932,2.400785854616896,4.347740667976424,2020-07-19,509,10.159135559921415
2.2134146341463414,1.829268292682927,2.573170731707317,8.286585365853659,2020-08-02,492,14.902439024390244
2.085539714867617,1.4175152749490836,2.45010183299389,8.507128309572302,2020-08-16,491,14.460285132382893
1.8875739644970415,1.8145956607495068,2.203155818540434,6.680473372781065,2020-08-30,507,12.585798816568047
2.078393881453155,3.152963671128107,2.9120458891013383,7.848948374760994,2020-09-20,523,15.992351816443595
1.574,2.54,2.542,7.83,2020-10-11,500,14.486
1.659047619047619,1.7523809523809524,1.5561904761904761,3.9466666666666668,2020-11-01,525,8.914285714285715
1.3013698630136987,1.8571428571428572,0.8610567514677103,2.8454011741682974,2020-11-22,511,6.864970645792564
1.4119922630560928,1.8085106382978724,1.4584139264990328,4.2533849129593815,2020-12-13,517,8.93230174081238
1.376753507014028,1.4128256513026052,1.1062124248496994,3.625250501002004,2021-01-13,499,7.521042084168337
1.3320079522862822,1.8727634194831013,1.3578528827037772,5.986083499005964,2021-02-10,503,10.548707753479125
1.4435946462715106,2.019120458891013,1.5277246653919694,4.705544933078394,2021-03-10,523,9.695984703632886
1.442495126705653,1.5886939571150098,1.4502923976608186,3.962962962962963,2021-04-14,513,8.444444444444445
1.6478599221789882,1.990272373540856,2.198443579766537,4.124513618677042,2021-05-12,514,9.961089494163424
1.8762278978388998,2.7662082514734774,3.1886051080550097,7.669941060903732,2021-06-09,509,15.50098231827112
2.108651911468813,2.187122736418511,2.8893360160965793,7.494969818913481,2021-07-14,497,14.680080482897385
