date,family,colleagues,friends,strangers,nrow,total
2020-04-15,1.0429447852760736,1.8471370143149284,1.3507157464212678,4.516359918200409,1956,8.757157464212678
2020-04-29,0.9788961038961039,1.900974025974026,1.50487012987013,5.650162337662338,1232,10.034902597402597
2020-05-13,0.9772256728778468,2.0175983436853,1.4358178053830228,5.512422360248447,966,9.943064182194616
2020-05-27,1.2188139059304703,1.9938650306748467,1.4427402862985685,5.879345603271983,978,10.53476482617587
2020-06-10,1.2756866734486267,2.1393692777212614,1.7670396744659207,7.533062054933876,983,12.715157680569684
2020-06-24,1.3410404624277457,1.9754335260115607,1.6777456647398843,5.573699421965318,692,10.56791907514451
2020-07-08,1.4259634888438133,1.6795131845841784,1.8052738336713996,8.486815415821502,493,13.397565922920892
2020-07-22,1.388,1.67,1.95,4.372,500,9.38
2020-08-05,1.3652694610778444,1.692614770459082,1.6487025948103793,7.457085828343313,501,12.163672654690618
2020-08-19,1.3827655310621243,1.9098196392785571,1.7054108216432866,4.887775551102204,499,9.885771543086172
2020-09-02,1.6626506024096386,3.1606425702811247,2.6586345381526106,6.738955823293173,498,14.220883534136545
2020-09-16,1.4409722222222223,3.6458333333333335,2.7847222222222223,11.315972222222221,288,19.1875
2020-09-30,1.4734513274336283,2.853982300884956,1.8893805309734513,10.464601769911505,226,16.68141592920354
2020-10-14,1.0709939148073022,2.866125760649087,1.9634888438133875,7.1115618661257605,493,13.012170385395537
2020-10-28,1.2491103202846976,2.320284697508897,1.7651245551601424,3.9715302491103204,281,9.306049822064058
2020-11-11,0.8511627906976744,2.0604651162790697,2.0093023255813955,9.06046511627907,215,13.981395348837209
2020-11-25,1.0653061224489795,2.0183673469387755,1.2673469387755103,3.7714285714285714,490,8.122448979591837
2020-12-09,1.1508771929824562,1.8877192982456141,1.2105263157894737,4.621052631578947,285,8.87017543859649
2020-12-23,1.4774774774774775,2.824324324324324,1.5405405405405406,9.41891891891892,222,15.26126126126126
2021-01-06,0.8,1.5714285714285714,1.0142857142857142,3.2,70,6.585714285714285
2021-01-20,1.1238317757009346,2.0070093457943927,0.8341121495327103,3.677570093457944,428,7.642523364485982
