family,colleagues,friends,strangers,date,nrow,total
0.9592668024439919,2.095723014256619,1.505091649694501,6.20162932790224,2020-04-09,491,10.761710794297352
0.9631147540983607,1.4549180327868851,1.2848360655737705,2.987704918032787,2020-04-12,488,6.690573770491803
1.0506329113924051,1.9071729957805907,1.1561181434599157,4.546413502109704,2020-04-16,474,8.660337552742616
1.194831013916501,1.9284294234592445,1.4473161033797217,4.326043737574553,2020-04-19,503,8.896620278330019
1.0733752620545074,2.2054507337526204,1.5324947589098532,5.723270440251572,2020-04-23,477,10.534591194968554
0.8319502074688797,1.7240663900414939,1.5311203319502074,5.508298755186722,2020-04-26,482,9.595435684647303
0.9686847599164927,1.5532359081419624,1.2254697286012526,5.812108559498956,2020-05-03,479,9.559498956158665
0.967280163599182,2.539877300613497,1.7198364008179958,6.752556237218814,2020-05-10,489,11.979550102249489
1.0727650727650728,1.8253638253638254,1.345114345114345,4.147609147609147,2020-05-17,481,8.390852390852391
1.0262626262626262,1.8646464646464647,1.3232323232323233,4.135353535353535,2020-05-24,495,8.34949494949495
1.4699792960662525,2.1780538302277432,1.6169772256728778,7.337474120082816,2020-05-31,483,12.602484472049689
1.3737373737373737,2.1575757575757577,1.8202020202020202,5.793939393939394,2020-06-07,495,11.145454545454545
1.0821052631578947,1.9157894736842105,1.5894736842105264,10.0,2020-06-14,475,14.587368421052632
1.507070707070707,2.0424242424242425,1.8464646464646464,5.298989898989899,2020-06-21,495,10.694949494949494
1.4259634888438133,1.6795131845841784,1.8052738336713996,8.486815415821502,2020-07-05,493,13.397565922920892
1.388,1.67,1.95,4.372,2020-07-19,500,9.38
1.3652694610778444,1.692614770459082,1.6487025948103793,7.457085828343313,2020-08-02,501,12.163672654690618
1.3827655310621243,1.9098196392785571,1.7054108216432866,4.887775551102204,2020-08-16,499,9.885771543086172
1.6626506024096386,3.1606425702811247,2.6586345381526106,6.738955823293173,2020-08-30,498,14.220883534136545
1.4552529182879377,3.2976653696498053,2.3910505836575875,10.941634241245136,2020-09-20,514,18.085603112840467
1.0709939148073022,2.866125760649087,1.9634888438133875,7.1115618661257605,2020-10-11,493,13.012170385395537
1.0766129032258065,2.2076612903225805,1.8709677419354838,6.17741935483871,2020-11-01,496,11.33266129032258
1.0653061224489795,2.0183673469387755,1.2673469387755103,3.7714285714285714,2020-11-22,490,8.122448979591837
1.2938856015779092,2.2978303747534516,1.3550295857988166,6.72189349112426,2020-12-13,507,11.668639053254438
1.0783132530120483,1.9457831325301205,0.8594377510040161,3.610441767068273,2021-01-13,498,7.493975903614458
1.4552683896620278,1.8648111332007953,1.5984095427435387,5.045725646123261,2021-02-10,503,9.964214711729623
1.2464646464646465,2.228282828282828,1.4787878787878788,4.0606060606060606,2021-03-10,495,9.014141414141415
1.247983870967742,2.6875,1.6088709677419355,5.701612903225806,2021-04-14,496,11.245967741935484
1.442655935613682,2.0945674044265594,1.9336016096579476,5.334004024144869,2021-05-12,497,10.804828973843058
1.5150905432595574,2.7927565392354126,2.625754527162978,9.82897384305835,2021-06-09,497,16.7625754527163
2.299595141700405,2.668016194331984,2.682186234817814,8.676113360323887,2021-07-14,494,16.32591093117409
