date,family,colleagues,friends,strangers,nrow,total
2020-04-16,0.740832507433102,0.48265609514370666,0.20862239841427155,0.8845391476709613,2018,2.3166501486620414
2020-04-30,0.8161888701517707,0.6627318718381113,0.2436762225969646,1.0261382799325465,1186,2.748735244519393
2020-05-14,1.2135728542914173,0.8952095808383234,0.7325349301397206,2.029940119760479,1002,4.87125748502994
2020-05-28,1.6392961876832846,1.1818181818181819,1.33822091886608,4.225806451612903,1023,8.38514173998045
2020-06-11,1.6910331384015596,1.5311890838206628,1.8128654970760234,5.342105263157895,1026,10.37719298245614
2020-06-25,1.8162327718223583,1.6983154670750382,2.243491577335375,5.9785604900459415,653,11.736600306278714
2020-07-09,1.9015748031496063,1.797244094488189,2.27755905511811,5.852362204724409,508,11.828740157480315
2020-07-23,1.7426326129666012,1.6679764243614932,2.400785854616896,4.347740667976424,509,10.159135559921415
2020-08-06,2.2134146341463414,1.829268292682927,2.573170731707317,8.286585365853659,492,14.902439024390244
2020-08-20,2.085539714867617,1.4175152749490836,2.45010183299389,8.507128309572302,491,14.460285132382893
2020-09-03,1.8875739644970415,1.8145956607495068,2.203155818540434,6.680473372781065,507,12.585798816568047
2020-09-17,2.1146666666666665,3.2746666666666666,2.8,7.661333333333333,375,15.850666666666667
2020-10-01,1.9864864864864864,2.8445945945945947,3.195945945945946,8.324324324324325,148,16.35135135135135
2020-10-15,1.574,2.54,2.542,7.83,500,14.486
2020-10-29,1.678191489361702,1.547872340425532,1.7047872340425532,3.4122340425531914,376,8.34308510638298
2020-11-12,1.610738255033557,2.2684563758389262,1.1812080536912752,5.295302013422819,149,10.355704697986576
2020-11-26,1.3013698630136987,1.8571428571428572,0.8610567514677103,2.8454011741682974,511,6.864970645792564
2020-12-10,1.510928961748634,1.650273224043716,1.4562841530054644,3.060109289617486,366,7.6775956284153
2020-12-24,1.1721854304635762,2.19205298013245,1.4635761589403973,7.145695364238411,151,11.973509933774835
2021-01-07,1.2808219178082192,1.3630136986301369,1.5616438356164384,2.712328767123288,146,6.917808219178082
2021-01-21,1.4164305949008498,1.43342776203966,0.9178470254957507,4.002832861189802,353,7.770538243626063
