date,family,colleagues,friends,strangers,nrow,total,family_std_low_resolution,family_low_resolution,strangers_low_resolution,friends_low_resolution,colleagues_low_resolution,total_std_low_resolution,total_low_resolution,strangers_std_low_resolution,friends_std_low_resolution,colleagues_std_low_resolution
2020-05-16,1.1349733805783273,1.539432076794519,1.13224941206645,4.525545004176917,574.5714285714286,8.332199873616213,0.059730242611056555,1.449907045632825,2.203452229225217,1.5137564939790502,1.5839513767624802,0.3763437089179803,6.799599816221384,0.30265856911660327,0.07290712903084592,0.11883051130934044
2020-05-17,1.1828830398920023,1.5740712711982663,1.2120630766627232,4.749087646714215,554.2857142857143,8.718105034467206,0.059739879300697935,1.4657813386971537,2.2307780303845397,1.5426936759995862,1.595887909619229,0.37630435845418203,6.888836160895572,0.302581602816965,0.0728744329567511,0.11881269615666885
2020-05-18,1.2554981037647348,1.6021314523259327,1.288213715390049,4.892657880161749,561.2857142857143,9.038501151642464,0.05975079020566494,1.4813972150495636,2.2625576524545044,1.5721910131706736,1.6067480690623315,0.3762728113591827,6.980817606736002,0.30252618360510264,0.07284637555339697,0.11879955288015409
2020-05-19,1.3549743154066065,1.5081321719590937,1.2936918917051536,5.408273795259977,572.4285714285714,9.565072174330831,0.05976351951446713,1.496733491700149,2.2991279269217255,1.6022432165707126,1.6166816655707181,0.3762540868595213,7.075818001054717,0.30249928424641515,0.07282224652603946,0.11879371815768418
2020-05-20,1.4580584831472625,1.4354138216071557,1.3390492824060558,4.7608721892324155,568.7142857142857,8.99339377639289,0.05977883029087967,1.5117717538602966,2.340714431582959,1.6328366541243202,1.6258948734228469,0.3762511059854455,7.174069774416651,0.30250620908803044,0.07280140168923223,0.11879697210778829
2020-05-21,1.4856526533454624,1.4240213127964023,1.3915329264660894,4.867575111365125,587.7142857142857,9.168782003973078,0.05979771014867913,1.5264962490860738,2.3874164980031534,1.6639484732788576,1.6346455868218857,0.37626393656903784,7.275750397258019,0.30254992980305123,0.07278337288612866,0.1188098862032159
2020-05-22,1.4985570072534882,1.4116331996564095,1.4467706886456246,4.825078504399204,584.8571428571429,9.182039399954727,0.05982138102656382,1.5408937728609347,2.439195390102343,1.695545839915826,1.6432362220955783,0.37628946011439346,7.380969516591891,0.30263026829492923,0.07276798942745989,0.11883159477613271
2020-05-23,1.545590918851192,1.462553926199058,1.5251137842048954,4.9561259680877585,565.8571428571429,9.489384597342902,0.059851310492504584,1.5549535501149485,2.4958662101316422,1.7275853019527194,1.6520042078448858,0.37632157527060317,7.4897572715380365,0.3027430684176857,0.07275551221538293,0.11885973728468495
2020-05-24,1.5856373722151464,1.5104295982069915,1.5893577426578414,5.319620931290429,585.1428571428571,10.005045644370409,0.059889221759185866,1.5686671156533132,2.557094014054982,1.7600122867436698,1.6613105111386886,0.3763520227039629,7.602054285996047,0.3028796091977947,0.07274677899399933,0.11889061847428554
2020-05-25,1.5383469836670893,1.5469216558852958,1.5951318955567995,5.343147034342217,591.8571428571429,10.0235475694514,0.05993709936285508,1.5820281949959798,2.62239452096289,1.79276074290869,1.671526637010477,0.3763718711360166,7.717703817500039,0.30302657993251003,0.07274335569319068,0.11891962573174707
2020-05-26,1.482011235205025,1.6410300176989208,1.5946627226244687,4.867885425775346,591.5714285714286,9.58558940130376,0.05999718730095231,1.5950325858182177,2.6911396814558484,1.8257529393598717,1.6830206067166025,0.3763736433525321,7.83644650233132,0.3031669394547099,0.0727476849203147,0.11894192512744847
2020-05-27,1.4257174199690066,1.7948668414142301,1.666408432904219,5.349620453483267,656.7142857142857,10.236613147770722,0.06007197640509713,1.6076780391136547,2.7625682301740584,1.8588994367029474,1.6961424647471615,0.37635398589112046,7.957918078288435,0.3032819074962256,0.07276321870594847,0.11895342950076214
2020-05-28,1.4293545891223824,1.8215918171187977,1.7106725671293377,5.23484954511992,666.7142857142857,10.196468518490438,0.06016417791633597,1.6199641384358394,2.835801191458247,1.8920992484581785,1.711209883996274,0.3763167013898433,8.081650388934444,0.30335418935903263,0.07279451911283351,0.1189519950311572
2020-05-29,1.5260825339020754,1.7528609894475728,1.782015598552455,5.402488887655305,811.8571428571429,10.463448009557409,0.060276680695715464,1.6318921751428572,2.909862139490219,1.9252402112152218,1.7284944326466511,0.37627587518094374,8.207075878362442,0.3033723332569331,0.07284730783985643,0.11893876028673483
2020-05-30,1.5931427245121839,1.746824909677019,1.826767961649088,5.222963292556708,856.7142857142857,10.389698888395,0.06041249029579237,1.6434650174750922,2.983701841332249,1.958199583464439,1.7482090362951337,0.37625874676978177,8.333535676113089,0.30333588899344865,0.07292844512030472,0.11891949820822507
2020-05-31,1.5960280891843686,1.7427938235583613,1.8033059452635865,4.783284263050169,910.1428571428571,9.925412121056484,0.060574649258276145,1.6546869715155643,3.0562267400833134,1.9908448920279216,1.7704971168607524,0.37630791363640076,8.460291251233565,0.30326080687153023,0.0730458196559999,0.11890581220398572
2020-06-01,1.6211230108739747,1.7403915610219687,1.8455106785973923,4.736701798061396,1005.5714285714286,9.94372704855473,0.06076613946678536,1.6655636325700853,3.1263305734290947,2.0230350424245866,1.7954238190494494,0.37648242303874074,8.586539486695873,0.30318431626454284,0.07320813558676384,0.11891597870738961
2020-06-02,1.5980929832054147,1.7662536842198715,1.885926813736463,4.725536747821117,1056.4285714285713,9.975810228982867,0.060989769094742824,1.6761017261980684,3.1929282777726877,2.0546217049391893,1.8229696495189607,0.37685732334105493,8.711430895162536,0.3031683831307319,0.07342458987580817,0.1189752275675703
