date,family,colleagues,friends,strangers,nrow,total
2020-04-15,0.7129770992366412,1.1862595419847328,0.5684478371501273,2.7302798982188294,1965,5.197964376590331
2020-04-29,0.8443251533742331,1.2760736196319018,0.6618098159509203,4.141871165644171,1304,6.924079754601227
2020-05-13,1.0200956937799044,1.7665071770334928,0.9521531100478469,4.85933014354067,1045,8.598086124401913
2020-05-27,1.1364082433758587,1.9784102060843964,1.1658488714425908,5.392541707556428,1019,9.673209028459274
2020-06-10,1.2306930693069307,1.9792079207920792,1.4059405940594059,5.7732673267326735,1010,10.389108910891089
2020-06-24,1.4115983026874115,2.68033946251768,1.9519094766619518,8.98019801980198,707,15.024045261669023
2020-07-08,1.624203821656051,3.1231422505307855,2.2505307855626326,9.169851380042463,471,16.16772823779193
2020-07-22,1.4912621359223301,2.559223300970874,1.7941747572815534,8.85242718446602,515,14.697087378640777
2020-08-05,1.6564299424184261,2.5412667946257197,1.9059500959692899,11.470249520153551,521,17.573896353166987
2020-08-19,1.4140625,2.50390625,2.484375,9.953125,512,16.35546875
2020-09-02,1.3617021276595744,3.640232108317215,2.274661508704062,8.369439071566731,517,15.646034816247582
2020-09-16,1.2916666666666667,3.1458333333333335,2.4930555555555554,7.215277777777778,288,14.145833333333334
2020-09-30,1.2876106194690264,3.146017699115044,1.6238938053097345,8.765486725663717,226,14.823008849557523
2020-10-14,1.309664694280079,4.252465483234714,2.3629191321499015,9.60552268244576,507,17.530571992110453
2020-10-28,1.4325259515570934,1.9965397923875432,1.7335640138408304,5.868512110726644,289,11.03114186851211
2020-11-11,1.125,3.4444444444444446,2.2546296296296298,6.203703703703703,216,13.027777777777779
2020-11-25,1.134387351778656,2.377470355731225,1.5039525691699605,3.6185770750988144,506,8.634387351778656
2020-12-09,1.2916666666666667,2.4791666666666665,1.2222222222222223,7.715277777777778,288,12.708333333333334
2020-12-23,1.4018264840182648,2.589041095890411,1.178082191780822,11.885844748858448,219,17.054794520547944
2021-01-06,0.9402985074626866,1.9104477611940298,0.6268656716417911,4.552238805970149,67,8.029850746268657
2021-01-20,1.048165137614679,1.93348623853211,1.311926605504587,5.389908256880734,436,9.68348623853211
