date,family,colleagues,friends,strangers,nrow,total
2020-04-16,0.9516539440203562,1.0290076335877862,0.9949109414758269,2.969465648854962,1965,5.9450381679389315
2020-04-30,1.1324675324675324,1.3826839826839827,1.1766233766233767,3.743722943722944,1155,7.435497835497835
2020-05-14,1.228658536585366,1.2997967479674797,1.1199186991869918,4.027439024390244,984,7.675813008130081
2020-05-28,1.1463168516649849,1.1624621594349143,0.9798183652875883,3.197780020181635,991,6.4863773965691225
2020-06-11,1.5802219979818366,1.8738647830474269,1.7608476286579213,8.522704339051463,991,13.737638748738648
2020-06-25,1.5173501577287065,1.4400630914826498,1.832807570977918,4.832807570977918,634,9.623028391167193
2020-07-09,1.3235294117647058,1.3991596638655461,1.4411764705882353,5.1155462184873945,476,9.279411764705882
2020-07-23,1.3968565815324165,1.7799607072691552,1.5108055009823183,4.6895874263261295,509,9.37721021611002
2020-08-06,1.3353174603174602,1.6904761904761905,1.257936507936508,3.7043650793650795,504,7.988095238095238
2020-08-20,1.68762278978389,1.3084479371316307,1.6915520628683693,3.6286836935166993,509,8.31630648330059
2020-09-03,1.378217821782178,1.5881188118811882,1.6653465346534653,4.928712871287129,505,9.56039603960396
2020-09-17,1.5406162464985995,1.3333333333333333,1.7563025210084033,4.750700280112045,357,9.380952380952381
2020-10-01,1.5443037974683544,1.8860759493670887,1.5,5.031645569620253,158,9.962025316455696
2020-10-15,1.684,2.056,1.794,5.912,500,11.446
2020-10-29,1.7421203438395416,2.5816618911174785,2.0601719197707737,7.054441260744985,349,13.43839541547278
2020-11-12,1.8085106382978724,2.0567375886524824,2.354609929078014,6.085106382978723,141,12.304964539007091
2020-11-26,1.6388888888888888,1.4523809523809523,1.4523809523809523,4.093253968253968,504,8.636904761904763
2020-12-10,1.4416666666666667,2.191666666666667,1.7222222222222223,5.913888888888889,360,11.269444444444444
2020-12-24,1.619047619047619,1.870748299319728,1.8843537414965987,7.374149659863946,147,12.748299319727892
2021-01-07,1.3071428571428572,1.4214285714285715,1.3642857142857143,5.271428571428571,140,9.364285714285714
2021-01-21,1.2296918767507004,1.2549019607843137,1.3137254901960784,4.002801120448179,357,7.8011204481792715
