family,colleagues,friends,strangers,date,nrow,total
0.7462235649546828,0.5649546827794562,0.6344410876132931,1.256797583081571,2020-04-10,331,3.202416918429003
0.6047904191616766,0.36327345309381237,0.2834331337325349,0.9940119760479041,2020-04-12,501,2.245508982035928
0.53125,0.525390625,0.443359375,1.28515625,2020-04-16,512,2.78515625
0.48232848232848236,0.577962577962578,0.47401247401247404,0.9313929313929314,2020-04-19,481,2.4656964656964657
0.62217659137577,0.8459958932238193,0.5030800821355236,2.2238193018480494,2020-04-23,487,4.195071868583162
0.6357012750455373,0.5737704918032787,0.4134790528233151,2.865209471766849,2020-04-26,549,4.48816029143898
0.6356435643564357,0.8495049504950495,0.6138613861386139,3.4455445544554455,2020-05-03,505,5.544554455445544
0.8621359223300971,0.6796116504854369,0.6621359223300971,1.858252427184466,2020-05-10,515,4.062135922330097
0.8477443609022557,0.8176691729323309,0.8947368421052632,2.223684210526316,2020-05-17,532,4.783834586466165
0.9257142857142857,1.2533333333333334,1.0914285714285714,1.9828571428571429,2020-05-24,525,5.253333333333333
0.8379446640316206,0.650197628458498,0.7371541501976284,1.9723320158102766,2020-05-31,506,4.1976284584980235
0.8904382470119522,0.9223107569721115,0.9661354581673307,2.446215139442231,2020-06-07,502,5.225099601593626
0.850597609561753,1.0119521912350598,1.1135458167330676,2.3864541832669324,2020-06-14,502,5.362549800796812
0.95703125,0.974609375,1.076171875,2.98046875,2020-06-21,512,5.98828125
0.93359375,1.1796875,1.33203125,3.427734375,2020-07-05,512,6.873046875
1.120792079207921,1.0772277227722773,1.203960396039604,2.6613861386138615,2020-07-19,505,6.063366336633663
1.185546875,1.16796875,1.345703125,4.341796875,2020-08-02,512,8.041015625
1.1019607843137256,1.007843137254902,1.2509803921568627,3.6666666666666665,2020-08-16,510,7.027450980392157
1.0974155069582505,1.536779324055666,1.337972166998012,3.709741550695825,2020-08-30,503,7.681908548707754
1.0724070450097847,1.4892367906066537,1.3287671232876712,3.720156555772994,2020-09-20,511,7.610567514677104
0.9166666666666666,1.3888888888888888,1.2162698412698412,3.0694444444444446,2020-10-11,504,6.591269841269841
0.9549019607843138,1.3490196078431373,1.2509803921568627,3.9137254901960783,2020-11-01,510,7.468627450980392
0.8866799204771372,1.065606361829026,0.9681908548707754,5.0516898608349905,2020-11-22,503,7.972166998011929
0.8618677042801557,1.3151750972762646,0.9124513618677043,1.9805447470817121,2020-12-13,514,5.070038910505836
0.6449704142011834,0.9763313609467456,0.5384615384615384,1.921104536489152,2021-01-13,507,4.0808678500986195
0.7440944881889764,1.0964566929133859,0.639763779527559,1.6122047244094488,2021-02-10,508,4.09251968503937
1.0724070450097847,0.9530332681017613,1.1174168297455969,2.4735812133072406,2021-03-10,511,5.616438356164384
0.8759842519685039,1.220472440944882,1.0,2.372047244094488,2021-04-14,508,5.468503937007874
1.306483300589391,1.8290766208251474,1.7426326129666012,5.587426326129666,2021-05-12,509,10.465618860510805
1.2788844621513944,2.252988047808765,2.097609561752988,4.6414342629482075,2021-06-09,502,10.270916334661354
1.5502008032128514,2.3473895582329316,2.0100401606425704,6.066265060240964,2021-07-14,498,11.973895582329318
