date,family,colleagues,friends,strangers,nrow,total
2020-04-16,0.5948666331152491,0.5249119275289381,0.4529441368897836,1.1529944640161047,1987,2.7257171615500755
2020-04-30,0.6263286999182338,0.7146361406377759,0.45952575633687653,3.1300081766148815,1223,4.930498773507768
2020-05-14,0.7736585365853659,0.7892682926829269,0.7765853658536586,1.9658536585365853,1025,4.305365853658537
2020-05-28,0.9172932330827067,0.9285714285714286,0.924812030075188,2.119360902255639,1064,4.890037593984962
2020-06-11,0.8456175298804781,0.9183266932270916,1.0189243027888446,2.208167330677291,1004,4.991035856573705
2020-06-25,0.958904109589041,1.0319634703196348,1.0380517503805176,2.954337899543379,657,5.983257229832573
2020-07-09,0.93359375,1.1796875,1.33203125,3.427734375,512,6.873046875
2020-07-23,1.120792079207921,1.0772277227722773,1.203960396039604,2.6613861386138615,505,6.063366336633663
2020-08-06,1.185546875,1.16796875,1.345703125,4.341796875,512,8.041015625
2020-08-20,1.1019607843137256,1.007843137254902,1.2509803921568627,3.6666666666666665,510,7.027450980392157
2020-09-03,1.0974155069582505,1.536779324055666,1.337972166998012,3.709741550695825,503,7.681908548707754
2020-09-17,1.1885245901639345,1.4426229508196722,1.3224043715846994,4.139344262295082,366,8.092896174863387
2020-10-01,0.7793103448275862,1.606896551724138,1.3448275862068966,2.6620689655172414,145,6.393103448275862
2020-10-15,0.9166666666666666,1.3888888888888888,1.2162698412698412,3.0694444444444446,504,6.591269841269841
2020-10-29,0.9390581717451524,1.113573407202216,0.9861495844875346,3.3240997229916895,361,6.362880886426593
2020-11-12,0.9932885906040269,1.919463087248322,1.8926174496644295,5.342281879194631,149,10.14765100671141
2020-11-26,0.8866799204771372,1.065606361829026,0.9681908548707754,5.0516898608349905,503,7.972166998011929
2020-12-10,0.8157181571815718,1.4119241192411924,0.9051490514905149,1.932249322493225,369,5.065040650406504
2020-12-24,0.9793103448275862,1.0689655172413792,0.9310344827586207,2.103448275862069,145,5.082758620689655
2021-01-07,0.5524475524475524,1.0,0.2937062937062937,1.7272727272727273,143,3.5734265734265733
2021-01-21,0.6813186813186813,0.967032967032967,0.6346153846153846,1.9972527472527473,364,4.28021978021978
