family,colleagues,friends,strangers,date,nrow,total
0.7949260042283298,1.1691331923890063,0.5285412262156448,3.5771670190274842,2020-04-09,473,6.069767441860465
0.7052845528455285,0.967479674796748,0.556910569105691,1.9227642276422765,2020-04-12,492,4.152439024390244
0.6924686192468619,1.4309623430962344,0.49581589958158995,3.428870292887029,2020-04-16,478,6.048117154811716
0.6647509578544061,1.1839080459770115,0.6819923371647509,2.0842911877394634,2020-04-19,522,4.614942528735632
0.7240663900414938,1.616182572614108,0.6804979253112033,5.576763485477178,2020-04-23,482,8.597510373443983
0.8811320754716981,1.0735849056603775,0.6943396226415094,4.049056603773585,2020-04-26,530,6.69811320754717
0.9333333333333333,1.5066666666666666,0.7428571428571429,4.081904761904762,2020-05-03,525,7.2647619047619045
0.9505703422053232,1.7338403041825095,0.9942965779467681,5.321292775665399,2020-05-10,526,9.0
1.1762452107279693,1.4731800766283525,0.9137931034482759,2.4559386973180075,2020-05-17,522,6.019157088122605
1.06963249516441,2.241779497098646,1.1121856866537718,5.029013539651838,2020-05-24,517,9.452611218568665
1.214859437751004,2.1646586345381524,1.6124497991967872,7.524096385542169,2020-05-31,498,12.516064257028113
1.215291750503018,1.9798792756539236,1.3661971830985915,5.583501006036217,2020-06-07,497,10.14486921529175
1.4919678714859437,2.4156626506024095,1.5421686746987953,7.257028112449799,2020-06-14,498,12.706827309236948
1.3081632653061224,2.4,1.9081632653061225,8.89795918367347,2020-06-21,490,14.514285714285714
1.624203821656051,3.1231422505307855,2.2505307855626326,9.169851380042463,2020-07-05,471,16.16772823779193
1.4912621359223301,2.559223300970874,1.7941747572815534,8.85242718446602,2020-07-19,515,14.697087378640777
1.6564299424184261,2.5412667946257197,1.9059500959692899,11.470249520153551,2020-08-02,521,17.573896353166987
1.4140625,2.50390625,2.484375,9.953125,2020-08-16,512,16.35546875
1.3617021276595744,3.640232108317215,2.274661508704062,8.369439071566731,2020-08-30,517,15.646034816247582
1.2898832684824904,3.1459143968871595,2.1108949416342413,7.896887159533074,2020-09-20,514,14.443579766536965
1.309664694280079,4.252465483234714,2.3629191321499015,9.60552268244576,2020-10-11,507,17.530571992110453
1.300990099009901,2.615841584158416,1.9564356435643564,6.011881188118812,2020-11-01,505,11.885148514851485
1.134387351778656,2.377470355731225,1.5039525691699605,3.6185770750988144,2020-11-22,506,8.634387351778656
1.339250493096647,2.526627218934911,1.2031558185404339,9.516765285996055,2020-12-13,507,14.585798816568047
1.0337972166998013,1.9304174950298212,1.220675944333996,5.278330019880715,2021-01-13,503,9.463220675944333
1.2335329341317365,2.7465069860279443,1.6087824351297406,6.147704590818363,2021-02-10,501,11.736526946107784
1.1590457256461233,1.5666003976143141,0.9880715705765407,4.870775347912525,2021-03-10,503,8.584493041749504
1.0998003992015968,2.688622754491018,1.5369261477045908,8.159680638722556,2021-04-14,501,13.48502994011976
1.2998027613412229,3.7140039447731756,2.0808678500986195,10.483234714003945,2021-05-12,507,17.577909270216963
1.4444444444444444,2.9742063492063493,2.0238095238095237,8.180555555555555,2021-06-09,504,14.623015873015873
1.6467065868263473,4.193612774451098,2.590818363273453,10.75249500998004,2021-07-14,501,19.18363273453094
