"dates","total","strangers"
2020-05-13,6.0701506594556065,17.832522272848852
2020-05-14,8.095902948703605,30.460069059835032
2020-05-15,14.954306255418793,368.32865290255535
2020-05-16,6.497403521996514,13.472374009934889
2020-05-17,7.635913834218082,16.582618465015052
2020-05-18,8.110503039042438,20.47847937303785
2020-05-19,8.225946200175445,49.95429306730896
2020-05-20,9.878005341683837,15.468974962109527
2020-05-21,10.826127366332374,19.057458894697486
2020-05-22,12.146805855765688,830.6948614812128
2020-05-23,8.120295769599457,7.478562554321605
2020-05-24,9.486359027389662,8.695547025927128
2020-05-25,8.420658079306294,15.612566908653287
2020-05-26,8.534767953054187,19.74549275857807
2020-05-27,9.389898271103064,12.186183343694337
2020-05-28,7.750379710170461,5.572965950046283
2020-05-29,8.37335859747116,11.856667260722435
2020-05-30,15.882004347857425,474.4827445658049
2020-05-31,9.14613194641908,121.56371321221756
2020-06-01,8.58994697909965,64.87837056021178
2020-06-02,11.258645443728035,12.623590290634198
2020-06-03,11.14742029699382,11.7879203474276
2020-06-04,12.04783926344285,346.28129818687984
2020-06-05,984.7593038514582,9.391918421593264
2020-06-06,6.371229257689822,7.733693025653637
2020-06-07,10.048019292120658,6.242554459139095
2020-06-08,12.540343908882614,35.782221060433464
2020-06-09,10.268663933587995,22.60253247776419
2020-06-10,9.847446996369438,5.306624199651865
2020-06-11,987.902451186615,10.633172895141136
2020-06-12,10.620352786008961,127.90978812377554
2020-06-13,12.722404810536613,137.02485024017963
2020-06-14,14.049574500703354,22.49003961302657
2020-06-15,19.443306535931907,557.5419308789644
2020-06-16,15.620354773860063,123.85653629776807
2020-06-17,13.108225544755328,11.557141549145074
2020-06-18,106.1497458672145,40.028868270834664
2020-06-19,11.754155137511946,8.911537931991155
2020-06-20,26.232736940447946,13.791714402217423
2020-06-21,11.263506374386477,11.357529197441464
2020-06-22,15.517178356047648,13.340153502593266
2020-06-23,12.146964271573673,20.56790572998483
2020-06-24,14.643299877573712,94.911832453405
2020-06-25,15.354685344137492,537.2561296863033
2020-06-26,14.956369541816253,15.724823725624823
2020-06-27,25.288055257771802,25.192181669640206
2020-06-28,15.510294118925211,30.8112510419453
2020-06-29,15.955024898230937,130.77707025896257
2020-06-30,15.02162958485713,7.516746191814828
2020-07-01,13.670175284776949,69.37020433531876
2020-07-02,11.629227840031113,6.323206525631303
2020-07-03,17.418561167748226,728.1540040709702
2020-07-04,16.48901902394084,27.556904951800718
2020-07-05,13.114642302485898,25.094367494037247
2020-07-06,16.074390686389147,65.91570931824367
2020-07-07,14.739346819568068,13.437843783830633
2020-07-08,19.061899605136986,14.408565344713683
2020-07-09,10.482263061192379,10.91569547108609
2020-07-10,16.743614356237984,853.7576815944773
2020-07-11,17.992313955222105,77.20138115110335
2020-07-12,15.19160240982828,952.4641645907105
2020-07-13,14.725811220581907,195.97321439534772
2020-07-14,14.378975638880688,14.308168833467231
2020-07-15,40.55948935585327,121.44118065465699
