"dates","family","colleagues","friends","strangers","total"
2020-05-14,0.7565217391304347,0.991304347826087,0.6869565217391305,2.8347826086956522,5.269565217391304
2020-05-17,1.3366336633663367,1.2722772277227723,0.7821782178217822,7.955445544554456,11.346534653465346
2020-05-20,1.1730769230769231,1.1298076923076923,1.1394230769230769,6.4326923076923075,9.875
2020-05-23,1.509433962264151,1.0424528301886793,0.9716981132075472,3.3254716981132075,6.849056603773585
2020-05-26,1.334862385321101,1.2844036697247707,1.385321100917431,9.389908256880734,13.394495412844037
2020-05-29,1.5570175438596492,2.1315789473684212,1.6973684210526316,8.978070175438596,14.364035087719298
2020-06-01,1.8210526315789475,1.311578947368421,2.0168421052631578,6.4526315789473685,11.602105263157895
2020-06-04,1.4851485148514851,2.3118811881188117,1.7202970297029703,3.232673267326733,8.75
2020-06-07,1.7629482071713147,1.4203187250996017,1.5776892430278884,5.410358565737051,10.171314741035857
2020-06-10,1.5939226519337018,2.2044198895027622,2.0552486187845305,3.096685082872928,8.950276243093922
2020-06-13,1.9585798816568047,2.769230769230769,2.43491124260355,13.097633136094675,20.2603550295858
2020-06-16,2.0239043824701195,2.4183266932270917,2.9243027888446216,3.8725099601593627,11.239043824701195
2020-06-19,1.8190045248868778,2.3438914027149322,2.6425339366515836,6.339366515837104,13.144796380090497
2020-06-22,2.118483412322275,2.5402843601895735,3.175355450236967,11.4739336492891,19.308056872037916
2020-06-25,1.8125,2.595833333333333,3.6083333333333334,4.7125,12.729166666666666
2020-06-28,2.171875,2.078125,3.78515625,5.10546875,13.140625
2020-07-01,1.7508896797153024,3.195729537366548,2.377224199288256,6.601423487544484,13.92526690391459
2020-07-04,1.985663082437276,2.2795698924731185,2.5448028673835124,6.845878136200717,13.655913978494624
2020-07-07,1.7903225806451613,1.6451612903225807,2.3306451612903225,6.125,11.891129032258064
2020-07-10,1.8084291187739463,1.8314176245210727,2.049808429118774,7.475095785440613,13.164750957854405
2020-07-13,1.967741935483871,1.4910394265232976,3.032258064516129,13.390681003584229,19.881720430107528
2020-07-16,2.019607843137255,1.7333333333333334,3.074509803921569,5.250980392156863,12.07843137254902
2020-07-19,2.0931899641577063,1.075268817204301,2.5197132616487457,8.311827956989248,14.0
2020-07-22,2.3656387665198237,1.4845814977973568,2.458149779735683,13.964757709251101,20.273127753303964
2020-07-25,2.1847389558232932,1.4417670682730923,2.5582329317269075,6.666666666666667,12.85140562248996
2020-07-28,2.2508250825082508,1.5709570957095709,2.6006600660066006,4.907590759075908,11.330033003300331
2020-07-31,1.8350515463917525,1.852233676975945,2.70446735395189,14.395189003436426,20.786941580756015
2020-08-03,2.438735177865613,1.2292490118577075,2.675889328063241,4.762845849802371,11.106719367588934
2020-08-06,2.0316742081447963,2.176470588235294,3.7013574660633486,10.633484162895927,18.542986425339368
2020-08-09,2.0229885057471266,1.4367816091954022,2.557471264367816,5.011494252873563,11.028735632183908
2020-08-12,1.4891304347826086,2.753623188405797,2.753623188405797,12.615942028985508,19.61231884057971
2020-08-15,1.6444444444444444,2.1866666666666665,1.9733333333333334,4.102222222222222,9.906666666666666
2020-08-18,2.3309608540925266,2.3843416370106763,3.0854092526690393,6.074733096085409,13.875444839857652
2020-08-21,1.661904761904762,1.7904761904761906,2.676190476190476,3.638095238095238,9.766666666666667
2020-08-24,2.3657142857142857,3.222857142857143,3.914285714285714,3.337142857142857,12.84
2020-08-27,1.842281879194631,2.5939597315436242,2.6912751677852347,10.369127516778523,17.496644295302012
2020-08-30,2.3811074918566777,2.3876221498371337,3.530944625407166,9.54071661237785,17.84039087947883
2020-09-02,1.7446300715990453,2.7231503579952268,2.7374701670644392,7.832935560859188,15.0381861575179
2020-09-05,1.9454545454545455,3.3454545454545452,2.2227272727272727,6.1454545454545455,13.659090909090908
2020-09-08,1.5294117647058822,2.1294117647058823,2.9529411764705884,4.711764705882353,11.323529411764707
2020-09-11,1.1117021276595744,2.622340425531915,2.856382978723404,7.398936170212766,13.98936170212766
2020-09-14,1.9301587301587302,1.7746031746031745,2.749206349206349,7.619047619047619,14.073015873015873
2020-09-17,1.4096385542168675,2.4909638554216866,3.1867469879518073,4.228915662650603,11.316265060240964
2020-09-20,1.6504559270516717,2.7142857142857144,2.382978723404255,10.088145896656535,16.835866261398177
2020-09-23,1.8051470588235294,2.3933823529411766,2.514705882352941,5.139705882352941,11.852941176470589
2020-09-26,1.9578947368421054,2.6842105263157894,2.8842105263157896,7.463157894736842,14.989473684210527
