"family","colleagues","friends","strangers","total","dates"
3.242009569117531,3.6798507172961155,4.088854554411302,14.665832341827912,21.52059644254171,2020-07-18
3.2473709665446915,3.6259350319502825,4.106785243713577,14.675656247288552,21.536937927838164,2020-07-19
3.240363220314298,3.5814781746666586,4.124183836120498,14.681958860287455,21.551081663676513,2020-07-20
3.221509209966652,3.547867295884814,4.141048342844865,14.684746443444118,21.56301513989716,2020-07-21
3.192084487207746,3.526565341551708,4.157377045443037,14.684031441586866,21.572727187364883,2020-07-22
3.1540203318528715,3.5190165516548118,4.173168491523224,14.679832423902893,21.58020798396993,2020-07-23
3.109754660795077,3.526542862333209,4.188421490232303,14.67217400960227,21.58544905937321,2020-07-24
3.062042705877219,3.5502386635590195,4.203135107531072,14.661086777386895,21.588443298496948,2020-07-25
3.0137435451386887,3.59087145834949,4.217308661267916,14.646607159072815,21.589184943763726,2020-07-26
2.9676012194576993,3.648795518680698,4.230941716061112,14.628777317768748,21.587669596088293,2020-07-27
2.9260398820212052,3.7238846914393817,4.244034078000429,14.607645011067595,21.58389421462858,2020-07-28
2.890991052333443,3.8154891647227482,4.2565857891788905,14.583263439758543,21.577857115303196,2020-07-29
2.863767707592763,3.9224193771453084,4.268597122065265,14.55569108261639,21.569557968084823,2020-07-30
2.8449950419096153,4.042958472270888,4.280068573729073,14.52499151787131,21.55899779308016,2020-07-31
2.8346018678958145,4.174902901334953,4.291000859928847,14.491233232005703,21.546178955408593,2020-08-01
2.831870550750691,4.31562908536352,4.30139490907549,14.454489416566014,21.531105158893126,2020-08-02
2.8355377826266395,4.462182568643625,4.311251856082257,14.414837753714895,21.5137814385788,2020-08-03
2.843934055810916,4.611384908688278,4.320573036113003,14.372360191283935,21.494214152094763,2020-08-04
2.855146825795563,4.759952702451299,4.3293599782405225,14.32714270811845,21.472410969878098,2020-08-05
2.8671912864691493,4.904622663209243,4.337614399026947,14.279275070533663,21.448380864278224,2020-08-06
