date,family,colleagues,friends,strangers,total
2020-05-13,0.986684992782066,3.094252627568319,1.1340195527913224,4.847603928629769,6.602229880067036
2020-05-14,1.2307268237689373,3.2345609933655006,1.166065645946027,5.965032683324674,7.5945551317449125
2020-05-15,1.3738108852607214,3.6702520570148476,1.588528095835425,4.355996777000546,7.277897173130573
2020-05-16,1.4952359329566975,3.2396964932111625,1.1928433918582024,10.268827863423104,10.84094218235517
2020-05-17,2.041455577793257,2.025849416216995,1.4568473204325718,6.397752893321666,8.214678117925878
2020-05-18,1.8804188270474906,2.8807927622524527,1.3173600450752134,4.907053814887543,7.38391416942085
2020-05-19,1.2648227795277691,3.12773092988126,1.075483945471446,7.156596369340489,8.396183193359379
2020-05-20,1.4251117570698388,3.687250504725764,1.764328741901258,7.106156529839355,9.311631801222203
2020-05-21,1.8779795624815632,3.566490735676767,1.7677094512319134,7.454053476393038,9.823484238241342
2020-05-22,2.2918849182012226,2.770607709646522,1.664599655222137,12.15128583682169,12.979236498941612
2020-05-23,2.417545800278321,2.2520373432540715,1.5501621316771075,3.690660751458428,6.831021266270896
2020-05-24,2.2832091536799686,1.873585796667356,1.8723644748737236,7.487039895690448,9.435700421768606
2020-05-25,2.011258162853022,3.0245422181958355,1.7578925218187704,4.515979479548837,7.654588290029145
2020-05-26,1.6884608531697034,3.7699257466754705,1.7016576916617072,8.488927422950367,10.54689962282521
2020-05-27,1.775535368986159,4.3021948998015285,2.2665211176331366,10.728226769364696,12.898240375744225
2020-05-28,1.4550441946222952,3.941636221218193,1.8082943423999593,7.640096710743796,9.95410300765608
2020-05-29,1.7670793686664792,4.096526508397801,1.6614101064115327,7.337322871344832,9.919492524046417
2020-05-30,1.9083165142665937,4.110583045608503,2.1045298377930646,8.386857831791339,11.179722464650819
2020-05-31,2.3175024912872977,2.2464892358898116,2.2236962022876887,6.311860463807827,9.151203522432358
2020-06-01,2.872807883286993,1.9966114787300813,2.3116623694295617,6.154061732017468,9.511384700417635
2020-06-02,2.291475996267561,3.8705796411166604,2.038986871015282,6.668444975546814,10.016131224429767
2020-06-03,1.7909739824583315,4.20767088041513,2.0742634374802176,6.2888896238291085,9.647442398167604
2020-06-04,1.6637871284119685,3.9625547853514003,2.1299339610710275,7.068249848754557,10.067470025209111
2020-06-05,1.5522738099299378,4.315303863044345,1.9694044602357919,5.7563454631206845,9.015953118678961
2020-06-06,2.4690264421619275,2.550423576997301,1.860169216181275,6.664860156936214,9.405904306773765
2020-06-07,2.512305826997667,2.347919349793493,2.143042864827971,8.073226996872606,10.603621356363153
2020-06-08,2.2409870748033063,4.451081469211028,2.150142365218188,8.989209842622465,12.067893092056048
2020-06-09,1.8326080251604695,5.415451260110233,2.284604505478062,8.518736992212034,12.198741579511262
2020-06-10,1.7756008288380722,4.766659185938487,2.142387383365674,5.208521681767745,9.322934227939164
2020-06-11,1.673028794894337,4.975696654774441,2.4739768051492335,9.352103809438578,12.55138002363062
2020-06-12,1.9486900091945667,5.139190898305029,2.833535423230005,9.741170316760536,13.46984770403964
2020-06-13,2.4270012140004895,5.087742342731878,3.0782528057716774,9.947357526978383,14.084086851573623
2020-06-14,3.0406271479664335,2.5917381682186957,3.666528409480133,8.704596087550488,12.882719557366539
2020-06-15,2.579764723241011,4.374036191035088,3.220640716632202,9.272769417105737,13.449446483323017
2020-06-16,2.347938441483014,5.1214373115304,3.079682719387729,7.534205836388772,12.356281411318719
2020-06-17,2.0597802645911067,6.092690907177792,2.7405748822147507,7.314128916051205,12.062529715145118
2020-06-18,2.0437502491003476,5.824329035688338,2.6037051117956462,10.276215206627137,14.100288222850775
2020-06-19,2.03535448772139,4.424807501525315,2.9834279429664767,12.078563979417408,14.898083712095906
2020-06-20,2.5909194463871863,6.052498236188215,3.7175484407424384,12.439229548681208,17.26880209844297
2020-06-21,2.571386032910917,4.000966090503408,3.493039205128159,6.364250552456682,11.104203126900645
2020-06-22,2.662105212675444,4.5702089562483295,3.019358666827779,12.185199258928419,15.554451449218242
2020-06-23,2.523668526604511,4.528601570395315,3.209246636374457,7.423009147242626,12.331082693244591
2020-06-24,2.663280913356738,5.443547395878822,4.1396184109153715,7.954329091136216,13.960095774957228
2020-06-25,2.59237100706769,5.2065623864042525,3.563267424705354,8.114632965545944,13.47383911855539
2020-06-26,2.2990414438325404,5.365144450496144,3.6408674607809632,8.979924572395324,14.005628949166166
2020-06-27,2.7549127193397522,5.37470956222506,4.11536735817249,12.108495925372237,16.916893416873346
2020-06-28,3.292792506694783,3.481079337619856,4.508341477256589,8.614221066749952,14.140996875495887
2020-06-29,3.1380380587607415,4.607165374959247,3.163221034025828,10.71298906768518,14.944937750731313
2020-06-30,2.3932596844664236,5.495826703332371,3.0537174824413067,10.034870845832902,14.413612723583432
2020-07-01,2.3176951164454747,5.486266236192002,3.4007826966656363,9.06259716306947,13.986703615936738
2020-07-02,2.0609358428916855,4.689163062771449,3.0030546025782017,10.396150165734008,13.945908000409842
2020-07-03,2.3503281734704258,5.1622772600483895,3.1824257618554768,10.109669941409726,14.350484418720297
2020-07-04,2.4990658183485204,4.92065966222189,3.1811535707221577,10.21139039841094,14.28956677747854
2020-07-05,2.676454049191895,3.292851386278651,3.3888801733129625,10.789684734142613,14.1339654296685
2020-07-06,2.8543326033729395,3.129209862260625,2.7962669083822376,10.772808176853223,13.663068163947539
2020-07-07,2.260697627311908,4.1690222877558964,2.9716481994591475,10.84951246627359,13.915395880958474
2020-07-08,2.0169090760115402,3.8946141999251194,2.606265387700835,13.000721132922422,14.881825305315878
2020-07-09,2.372806742017659,4.548652970731435,3.0420939592166834,9.843392671067729,13.575353149639001
2020-07-10,2.454909134495269,3.42133807608684,2.8521256858862376,12.175911687433045,14.562734323169796
2020-07-11,2.774557791129121,5.277909474893787,3.3173876987033273,17.24937386807113,19.70457466752179
2020-07-12,3.038717171204367,2.4682675181659923,2.843958113232541,12.458229151659932,14.759051212109608
2020-07-13,2.744332570848966,3.0615154356659424,3.146521301142483,14.32968572573343,16.427692692759027
2020-07-14,2.4151816176380487,3.463592182572798,2.6940782196525603,12.532504089322497,14.664043601339557
2020-07-15,2.703556057917079,2.914227000301498,2.8061812518439484,15.497507672845542,16.82015088555378
2020-07-16,2.5442440351429805,3.538614857979876,2.586499034686867,16.565399841801145,17.616199220336192
