"family","colleagues","friends","strangers","total","dates"
1.554212555357315,1.5544049756148328,1.4263108695198672,4.3701102272383165,9.069778745194906,2020-05-13
1.564578380290264,1.5657181589186435,1.4338757532676611,4.411496822906359,9.184621577334665,2020-05-14
1.5752880533929379,1.579758600129133,1.4438971798413545,4.455528202527602,9.302740268133821,2020-05-15
1.5863349295356708,1.596545355876459,1.456443206503945,4.502212794370668,9.424036008287707,2020-05-16
1.5977117809257317,1.6160780015303577,1.4715703161633655,4.551552800734438,9.548403424330136,2020-05-17
1.6094108022323663,1.6383361615676086,1.489322406240756,4.603543991569107,9.675730701831945,2020-05-18
1.6214236169935023,1.6632791945002399,1.5097298190720965,4.6581755141339025,9.805899725787748,2020-05-19
1.6337412853033708,1.6908460296920738,1.5328084263952553,4.715429719978182,9.938786238038825,2020-05-20
1.6463543127766858,1.7209551521599362,1.5585587810505757,4.775282010495864,10.074260011524926,2020-05-21
1.6592526607814575,1.753504730636474,1.5869653494560614,4.837700702258798,10.212185041101922,2020-05-22
1.6724257579288786,1.788372883765158,1.6179958386804931,4.902646913282746,10.35241975060708,2020-05-23
1.6858625128051228,1.8254180792859573,1.6516006320027268,4.970074471320269,10.494817215798683,2020-05-24
1.6995513279262928,1.8644796614147607,1.6877123466888877,5.039929845207874,10.639225402742326,2020-05-25
1.713480114894171,1.9053785022659129,1.7262455273201116,5.1121521002207135,10.785487421162776,2020-05-26
1.7276363107268948,1.9479177740455729,1.7670964873447268,5.186672878306738,10.933441792227644,2020-05-27
1.7420068953351864,1.9918838397726475,1.8101433105981957,5.263416403984142,11.082922730177895,2020-05-28
1.7565784101113386,2.0370472613742683,1.8552460233249097,5.342299516591071,11.233760437170584,2020-05-29
1.7713369775948036,2.08316392506061,1.9022469457473778,5.4232317294755665,11.385781410650612,2020-05-30
1.7862683221749582,2.129976284815601,1.9509712304665792,5.506115316606763,11.538808762522631,2020-05-31
1.801357791788478,2.177214725556035,2.0012275929546264,5.5908454269759265,11.692662549349514,2020-06-01
1.8165903805656414,2.2245990479301745,2.052809237137456,5.677310227038523,11.847160112762007,2020-06-02
1.8319507523770036,2.2718400767778575,2.105494976587146,5.765391071326655,12.002116429224762,2020-06-03
1.8474232652290363,2.318641394901908,2.159050549183808,5.854962701235321,12.157344468266945,2020-06-04
1.8629919964546833,2.3647012029669656,2.213230120305017,5.945893471856983,12.312655558251238,2020-06-05
1.87864076864226,2.409714305027267,2.2677779667005544,6.03804560660698,12.467859758724344,2020-06-06
1.894353176243796,2.453374217390373,2.3224303302615077,6.1312754792487,12.622766238363411,2020-06-07
1.9101126128017205,2.495375396270528,2.376917427947731,6.225433922792261,12.777183657508203,2020-06-08
1.9259022987308156,2.535415577014911,2.4309656012520584,6.320366564604771,12.930920554247052,2020-06-09
1.9417053095905392,2.5731982146588694,2.484299585810008,6.415914186934857,13.083785733006442,2020-06-10
1.9575046047812137,2.6084350122603994,2.5366448791669334,6.511913111919569,13.235588654579454,2020-06-11
1.97328305659616,2.6408485199721925,2.5877301823464354,6.6081956100089805,13.386139826517216,2020-06-12
1.9890234795606672,2.6701747842366954,2.6372898887775573,6.704590330613578,13.535251192799988,2020-06-13
2.004708659987667,2.696166022949457,2.685066592383649,6.800922753652474,13.682736521700987,2020-06-14
2.0203213856792437,2.7185932990476855,2.730813585257322,6.897015660557782,13.828411790755942,2020-06-15
2.0358444757025214,2.737249161865126,2.774297314382605,6.992689623172316,13.972095567755416,2020-06-16
2.0512608101681726,2.7519502228694264,2.8152997663491384,7.08776350886559,14.113609386684315,2020-06-17
2.066553359939653,2.762539630176566,2.853620748957675,7.182055000087113,14.252778117544507,2020-06-18
2.081705216201408,2.7688894046212242,2.889080039057372,7.275381126477114,14.389430329011589,2020-06-19
2.0966996198146335,2.770902599241819,2.921519366889483,7.367558807563901,14.523398642895671,2020-06-20
2.111519990389757,2.7685152438875194,2.950804208636495,7.458405403994433,14.654520079398349,2020-06-21
2.1261499550055567,2.761698037326187,2.97682536077833,7.54773927517135,14.782636392184298,2020-06-22
2.1405733765059307,2.7504577507599706,2.9995002722162933,7.635380341105782,14.907594392315183,2020-06-23
2.1547743813064724,2.734838309049338,3.018774112910284,7.721150646241831,15.029246260126605,2020-06-24
2.168737386644524,2.7149215191929983,3.034620560946152,7.804874922965442,15.14744984416485,2020-06-25
2.1824471272079977,2.6908274196719897,3.047042293460624,7.8863811524787995,15.262068946339657,2020-06-26
2.1958886810801457,2.6627142290794574,3.0560711706462476,7.965501120700559,15.372973592490967,2020-06-27
2.209047494939488,2.6307778779374353,3.061768106077931,8.042070966843756,15.480040287613496,2020-06-28
2.221909408456373,2.5952511136422225,3.064222620779786,8.115931722326133,15.58315225502983,2020-06-29
2.2344606778300657,2.556402174955061,3.0635520827165954,8.186929837683,15.68219965885367,2020-06-30
2.2466879984128822,2.514533039223961,3.0599006376763227,8.254917695179772,15.777079809136936,2020-07-01
2.258578526370604,2.4699772524325203,3.05343784173513,8.319754104861074,15.867697349149143,2020-07-02
2.2701198993313927,2.4230973590626714,3.0443570095921157,8.381304781824515,15.953964424294268,2020-07-03
2.281300255978426,2.3742819554664263,3.0328732969557612,8.439442802570639,16.035800832227736,2020-07-04
2.292108254544702,2.3239423968066437,3.0192215387912116,8.494049038355648,16.113134153796633,2020-07-05
2.3025330901717735,2.272509193494201,3.0036538685335463,8.54501256355985,16.185899864486604,2020-07-06
2.3125645110975563,2.220428138277588,2.9864371462808723,8.592231037181978,16.254041426120523,2020-07-07
