family,colleagues,friends,strangers,date,total
1.5971872765187176,3.0289409685698585,1.3342067633393568,6.6345909277362765,2020-05-13,8.249970930831353
1.6055727373337982,3.0182455054196473,1.345758802469825,6.662920387104578,2020-05-14,8.327727373162816
1.621730753944056,3.0107478032816037,1.3604586693612994,6.6940591021107,2020-05-15,8.41013978719139
1.6449378840839393,3.0067492579119177,1.3783773163352708,6.727836197065817,2020-05-16,8.497157770854686
1.6741349206017593,3.0065454752150393,1.3995692169125866,6.764066857835171,2020-05-17,8.588719892915684
1.7080010971141701,3.0104220885889865,1.4240710430300387,6.802555362778944,2020-05-18,8.684753688328366
1.7450479945124315,3.018650248933261,1.4519004392131072,6.843098432981887,2020-05-19,8.785175689640905
1.783723927336338,3.031481834243669,1.4830549138824218,6.8854888719525,2020-05-20,8.88989149483262
1.8225186370068247,3.049144437739982,1.5175108676859053,6.929519458495523,2020-05-21,8.998795871834234
1.8600584764659693,3.0718362052471297,1.5552227781479393,6.974987049843481,2020-05-22,9.11177289983099
1.8951838634989544,3.0997206037065856,1.5961225590006123,7.02169684546054,2020-05-23,9.228696147297477
1.9270033370618933,3.132921212848512,1.6401191113072402,7.069466755310429,2020-05-24,9.349428886560156
1.9549216534187128,3.1715166408260127,1.687098081905221,7.11813180993911,2020-05-25,9.47382434453127
1.9786425165822399,3.215535671633379,1.7369218427925115,7.167548543611593,2020-05-26,9.60172598910545
1.9981492786130526,3.264952757062935,1.789429702872758,7.217599276131306,2020-05-27,9.732967850559637
2.0136689004466195,3.319683968502393,1.8444383609784907,7.268196214047508,2020-05-28,9.867374877147633
2.0256254275201373,3.3795835237941567,1.9017426063360388,7.3192852879236785,2020-05-29,10.004763323934716
2.0345891906118365,3.4444410014903113,1.9611162696521203,7.3708496394081875,2020-05-30,10.144941173774553
2.041227050977757,3.5139793490372604,2.022313424827815,7.422912670231955,2020-05-31,10.287708589192123
2.0462575574449726,3.587853782686259,2.0850698379843022,7.475540565165572,2020-06-01,10.43285839380231
2.0504132154869605,3.6656516653093103,2.1491046570632903,7.528844202597879,2020-06-02,10.580176581765134
2.054410508932281,3.7468934339473203,2.2141223317951058,7.582980369924951,2020-06-03,10.729442853656128
2.0589271054535745,3.831034632056552,2.2798147503632036,7.6381522065095835,2020-06-04,10.880431177014177
2.0645849388471373,3.9174690823557503,2.3458635756917823,7.69460880469407,2020-06-05,11.03291036972023
2.07193759109988,4.005533215287858,2.41194276100072,7.7526439092832184,2020-06-06,11.18664470425869
2.0814604933128917,4.094511545835281,2.477721221167121,7.812593668065618,2020-06-07,11.34139453081998
2.093542772721065,4.183643268256225,2.5428656335610498,7.874833400252697,2020-06-08,11.49691691711729
2.1084799406755423,4.27212991476578,2.607043339439805,7.93977336606413,2020-06-09,11.652966302714503
2.1264669368252593,4.359144000816572,2.669925314740664,8.007853538881545,2020-06-10,11.809295165594175
2.147591281087163,4.443838556992238,2.731189177253326,8.079537401167402,2020-06-11,11.965654698636655
2.1718262686246317,4.5253574261566145,2.790522195721654,8.155304806368308,2020-06-12,12.121795493632087
2.199024347726205,4.60284618492121,2.8476242654546255,8.235643970893836,2020-06-13,12.277468230407925
2.228911122271845,4.675463531184875,2.9022108145465952,8.321042682524325,2020-06-14,12.432424368624385
2.261080856216964,4.742392964893323,2.954015604837063,8.411978833745856,2020-06-15,12.586416839770592
2.294994895312107,4.802854577631127,3.0027933922917334,8.508910409988982,2020-06-16,12.739200736883117
2.3299849531128944,4.856116758495549,3.0483224125626998,8.612265082985815,2020-06-17,12.890533999508413
2.3652635685729897,4.901507619132517,3.0904066590797448,8.722429577873115,2020-06-18,13.040178091438385
2.399944048415707,4.938425939984317,3.1288779231218986,8.839738998675772,2020-06-19,13.187898668767541
2.4330717117441076,4.966351442766867,3.163597567894342,8.964466309851401,2020-06-20,13.333466235846293
2.4636671956143408,4.984854200942275,3.194458011657421,9.096812181142896,2020-06-21,13.476656786742405
2.490781017543667,4.993603010380668,3.221383898381229,9.236895408616823,2020-06-22,13.617252429867154
2.5135567112365917,4.992372556340671,3.2443329381824295,9.384744126075036,2020-06-23,13.755041993477093
2.53129794737466,4.981049230098616,3.2632964038841226,9.540288017722414,2020-06-24,13.889821609824292
2.5435334690642133,4.9596354687169235,3.2782992743647146,9.703351734863201,2020-06-25,14.021395275798376
2.550072745709706,4.928252514206587,3.289400019861226,9.873649706405558,2020-06-26,14.14957538798171
2.5510452313104004,4.887141513299041,3.296690028998867,10.050782515121307,2020-06-27,14.274183250124729
2.5469171156923314,4.836662905760557,3.3002926819590943,10.23423498910753,2020-06-28,14.395049551141112
2.5384814219545753,4.777294077184035,3.3003620788032286,10.423376131022325,2020-06-29,14.512014811822022
2.526820004385571,4.709625280988719,3.297081436463988,10.617460976843947,2020-06-30,14.624929798574573
2.5132390794896153,4.6343538634424855,3.2906611722353682,10.815634441664164,2020-07-01,14.733655902601964
2.499182948089125,4.552276854385182,3.2813366956644954,11.016937173024653,2020-07-02,14.83806548306082
2.4861331109952896,4.464282014468662,3.2693659345154558,11.220313393275882,2020-07-03,14.938042172854363
2.4755016922018585,4.371337456640831,3.2550266238772902,11.424620672202986,2020-07-04,15.033481145848853
2.4685287420831012,4.274479984808705,3.238613390476699,11.628641530598133,2020-07-05,15.12428934443447
2.4661925420235145,4.17480231565757,3.220434666786157,11.831096735480571,2020-07-06,15.210385666488815
2.4691405780017956,4.073439370054191,3.200809471555686,12.030660109203932,2020-07-07,15.291701110943961
2.477646635384167,3.97155383792594,3.180064094914666,12.225974638668372,2020-07-08,15.368178881303573
