"dates","total","strangers"
2020-05-13,6.602229880067036,4.847603929347961
2020-05-14,7.5945551317449125,5.965032690028662
2020-05-15,7.277897173130573,4.355996776850624
2020-05-16,10.84094218235517,10.268827864477325
2020-05-17,8.214678117925878,6.397752896080078
2020-05-18,7.38391416942085,4.907053813844129
2020-05-19,8.396183193359379,7.156596369175302
2020-05-20,9.311631801222203,7.106156536099416
2020-05-21,9.823484238241342,7.454053470673162
2020-05-22,12.979236498941612,12.151285836796891
2020-05-23,6.831021266270896,3.6906607502913413
2020-05-24,9.435700421768606,7.487039895110325
2020-05-25,7.654588290029145,4.5159794769698705
2020-05-26,10.54689962282521,8.488927424686771
2020-05-27,12.898240375744225,10.72822676692949
2020-05-28,9.95410300765608,7.640096712484623
2020-05-29,9.919492524046417,7.337322872640172
2020-05-30,11.179722464650819,8.386857852927893
2020-05-31,9.151203522432358,6.311860462092349
2020-06-01,9.511384700417635,6.15406172547948
2020-06-02,10.016131224429767,6.668444972867112
2020-06-03,9.647442398167604,6.28888961892846
2020-06-04,10.067470025209111,7.068249850496219
2020-06-05,9.015953118678961,5.756345496357953
2020-06-06,9.405904306773765,6.664860153498841
2020-06-07,10.603621356363153,8.073227000857093
2020-06-08,12.067893092056048,8.989209834441393
2020-06-09,12.198741579511262,8.51873699381481
2020-06-10,9.322934227939164,5.208521663961185
2020-06-11,12.55138002363062,9.352103826815373
2020-06-12,13.46984770403964,9.741170317110276
2020-06-13,14.084086851573623,9.94735753659856
2020-06-14,12.882719557366539,8.704596083129017
2020-06-15,13.449446483323017,9.27276941787641
2020-06-16,12.356281411318719,7.534205828062884
2020-06-17,12.062529715145118,7.314128917234497
2020-06-18,14.100288222850775,10.276215210378792
2020-06-19,14.898083712095906,12.078563978411529
2020-06-20,17.26880209844297,12.439229525519767
2020-06-21,11.104203126900645,6.36425056164101
2020-06-22,15.554451449218242,12.185199271232849
2020-06-23,12.331082693244591,7.423009156701171
2020-06-24,13.960095774957228,7.954329094483858
2020-06-25,13.47383911855539,8.114632968137434
2020-06-26,14.005628949166166,8.979924571373704
2020-06-27,16.916893416873346,12.108495922747297
2020-06-28,14.140996875495887,8.614221095567423
2020-06-29,14.944937750731313,10.712989068595297
2020-06-30,14.413612723583432,10.034870846377897
2020-07-01,13.986703615936738,9.062597161236845
2020-07-02,13.945908000409842,10.396150166282439
2020-07-03,14.350484418720297,10.109669970235661
2020-07-04,14.28956677747854,10.211390362866979
2020-07-05,14.1339654296685,10.78968469742597
2020-07-06,13.663068163947539,10.772808178073358
2020-07-07,13.915395880958474,10.84951246922383
2020-07-08,14.881825305315878,13.000721130885019
2020-07-09,13.575353149639001,9.843392665558916
2020-07-10,14.562734323169796,12.175911688178145
2020-07-11,19.70457466752179,17.24937386443566
2020-07-12,14.759051212109608,12.45822915019606
2020-07-13,16.427692692759027,14.32968575761489
2020-07-14,14.664043601339557,12.532504069863839
2020-07-15,16.82015088555378,15.497507672442433
2020-07-16,17.616199220336192,16.565399839552686
2020-07-17,17.077607896472582,15.066984074838759
2020-07-18,17.367827958657752,16.07923239689252
2020-07-19,16.045006437718996,13.358067824372315
2020-07-20,15.714794909438016,13.296479447327478
2020-07-21,14.60305611292073,11.724512824285956
2020-07-22,18.994729033049403,18.39525261868103
2020-07-23,15.596477358626652,12.853868254310221
2020-07-24,20.56948395006363,20.3981917332407
2020-07-25,14.379498754767173,12.320220421568578
2020-07-26,15.087360758744163,11.537828346811015
2020-07-27,14.853286736366636,11.992349353443952
2020-07-28,12.573664587205602,10.420461934803619
2020-07-29,12.335659012602248,9.305794908069533
2020-07-30,15.018845661776915,12.996478984055054
2020-07-31,18.909243164687496,18.36036715119396
2020-08-01,15.734708014589039,13.561776694987886
2020-08-02,19.43901745706907,17.164344222239375
2020-08-03,15.614824898521107,12.796217590582309
2020-08-04,13.437742288577839,9.35288120846938
2020-08-05,16.322147449357868,13.918344034075043
2020-08-06,15.970011191411414,13.688592029221978
2020-08-07,14.15609113585999,10.611264318395934
2020-08-08,18.26338179712547,14.455741408920344
2020-08-09,15.26960822109094,10.561991702162478
2020-08-10,17.01171061160757,14.362667207823021
2020-08-11,16.718255637987433,12.813955391869989
2020-08-12,16.93343283492862,14.058365657382021
2020-08-13,11.851753200345273,7.255242621329583
2020-08-14,12.951501577349315,9.717874052498788
2020-08-15,14.208664432811315,9.599602761965926
2020-08-16,15.643611255590985,11.053429461142434
2020-08-17,16.590160825038076,12.090384612211057
2020-08-18,16.400910640171038,12.923288399596206
2020-08-19,14.962393598899684,10.776007147404275
2020-08-20,13.253826452115788,8.01727604056437
2020-08-21,10.381261670319482,5.881772414393104
2020-08-22,12.045258873607994,8.032999697612546
2020-08-23,14.945627061757245,9.681568472207067
2020-08-24,14.721977331940824,8.408862170075484
2020-08-25,11.307653633832395,7.059500910537458
2020-08-26,13.461985998566126,8.589826875209955
2020-08-27,15.583484149575378,11.130890178996099
