date,cases,deaths,cases_smoothed,deaths_smoothed,population,cases_per_100000,deaths_per_100000,vaccinated,fraction_vaccinated,week,region
2020-01-04,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,1,USA
2020-01-05,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,1,USA
2020-01-06,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,1,USA
2020-01-07,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,1,USA
2020-01-08,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,1,USA
2020-01-09,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,1,USA
2020-01-10,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,1,USA
2020-01-11,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,2,USA
2020-01-12,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,2,USA
2020-01-13,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,2,USA
2020-01-14,0,0,0.0,0.0,331002647,0.0,0.0,0,0.0,2,USA
2020-01-15,0,0,0.7142857142857143,0.0,331002647,0.00021579456259928771,0.0,0,0.0,2,USA
2020-01-16,0,0,0.7142857142857143,0.0,331002647,0.00021579456259928771,0.0,0,0.0,2,USA
2020-01-17,0,0,0.7142857142857143,0.0,331002647,0.00021579456259928771,0.0,0,0.0,2,USA
2020-01-18,5,0,0.7142857142857143,0.0,331002647,0.00021579456259928771,0.0,0,0.0,3,USA
2020-01-19,0,0,1.7142857142857142,0.0,331002647,0.0005179069502382904,0.0,0,0.0,3,USA
2020-01-20,0,0,1.8571428571428572,0.0,331002647,0.000561065862758148,0.0,0,0.0,3,USA
2020-01-21,0,0,2.0,0.0,331002647,0.0006042247752780055,0.0,0,0.0,3,USA
2020-01-22,7,0,1.2857142857142858,0.0,331002647,0.00038843021267871784,0.0,0,0.0,3,USA
2020-01-23,1,0,1.7142857142857142,0.0,331002647,0.0005179069502382904,0.0,0,0.0,3,USA
2020-01-24,1,0,1.7142857142857142,0.0,331002647,0.0005179069502382904,0.0,0,0.0,3,USA
2020-01-25,0,0,1.8571428571428572,0.0,331002647,0.000561065862758148,0.0,0,0.0,4,USA
2020-01-26,3,0,0.8571428571428571,0.0,331002647,0.0002589534751191452,0.0,0,0.0,4,USA
2020-01-27,0,0,0.7142857142857143,0.0,331002647,0.00021579456259928771,0.0,0,0.0,4,USA
2020-01-28,1,0,1.0,0.0,331002647,0.00030211238763900276,0.0,0,0.0,4,USA
2020-01-29,0,0,1.5714285714285714,0.0,331002647,0.0004747480377184329,0.0,0,0.0,4,USA
2020-01-30,0,0,1.1428571428571428,0.0,331002647,0.0003452713001588603,0.0,0,0.0,4,USA
2020-01-31,3,0,4.857142857142857,0.0,331002647,0.0014674030256751562,0.0,0,0.0,4,USA
2020-02-01,4,0,5.714285714285714,0.0,331002647,0.0017263565007943017,0.0,0,0.0,5,USA
2020-02-02,0,0,6.428571428571429,0.0,331002647,0.0019421510633935895,0.0,0,0.0,5,USA
2020-02-03,26,0,6.714285714285714,0.0,331002647,0.0020284688884333046,0.0,0,0.0,5,USA
2020-02-04,7,0,7.0,0.0,331002647,0.0021147867134730194,0.0,0,0.0,5,USA
