date,cases,deaths,cases_smoothed,deaths_smoothed,population,cases_per_100000,deaths_per_100000,vaccinated,fraction_vaccinated
2020-09-18,1345,2,1752.0,5.857142857142857,83019213,2.1103548644817915,0.0070551654797581095,0,0.0
2020-09-19,922,0,1744.7142857142858,8.142857142857142,83019213,2.1015789269338003,0.009808400788932005,0,0.0
2020-09-20,1821,10,1778.5714285714287,9.285714285714286,83019213,2.142361224950938,0.011185018443518956,0,0.0
2020-09-21,1769,13,1808.5714285714287,9.714285714285714,83019213,2.178497438383846,0.011701250063989059,0,0.0
2020-09-22,2143,19,1817.857142857143,10.142857142857142,83019213,2.1896824568273647,0.012217481684459165,0,0.0
2020-09-23,2153,15,1856.4285714285713,10.571428571428571,83019213,2.236143302669674,0.012733713304929272,0,0.0
2020-09-24,2507,9,1894.7142857142858,10.714285714285714,83019213,2.282259994098337,0.012905790511752639,0,0.0
2020-09-25,1410,5,1898.857142857143,11.285714285714286,83019213,2.2872502330962146,0.013594099339046116,0,0.0
2020-09-26,1192,3,1950.2857142857142,10.285714285714286,83019213,2.349198027552627,0.012389558891282536,0,0.0
2020-09-27,2089,11,2024.5714285714287,9.285714285714286,83019213,2.438678175100779,0.011185018443518956,0,0.0
2020-09-28,1798,17,2032.5714285714287,10.714285714285714,83019213,2.4483144986828878,0.012905790511752639,0,0.0
2020-09-29,2503,12,2156.714285714286,10.285714285714286,83019213,2.5978495914123947,0.012389558891282536,0,0.0
2020-09-30,2673,8,2183.8571428571427,10.571428571428571,83019213,2.6305442607088345,0.012733713304929272,0,0.0
2020-10-01,2563,19,2262.4285714285716,10.714285714285714,83019213,2.725186724461688,0.012905790511752639,0,0.0
2020-10-02,2279,2,2409.5714285714284,10.571428571428571,83019213,2.902426247489757,0.012733713304929272,0,0.0
2020-10-03,1382,5,2631.714285714286,11.142857142857142,83019213,3.170006304100095,0.013422022132222745,0,0.0
2020-10-04,2639,12,2895.0,11.571428571428571,83019213,3.4871445962755634,0.013938253752692852,0,0.0
2020-10-05,2828,16,3203.285714285714,11.0,83019213,3.8584872086003923,0.013249944925399378,0,0.0
2020-10-06,4058,16,3375.285714285714,12.285714285714286,83019213,4.065668165615729,0.014798639786809696,0,0.0
