date,cases,deaths,cases_smoothed,deaths_smoothed,population,cases_per_100000,deaths_per_100000,vaccinated,fraction_vaccinated
2021-03-22,13846,386,21057.428571428572,420.57142857142856,60359546,34.88665831155949,0.6967769912839116,5550306,0.09195407135766064
2021-03-23,18765,551,20807.714285714286,430.7142857142857,60359546,34.472946972984666,0.7135810559514243,5701593,0.09446050174068572
2021-03-24,21267,460,20799.714285714286,427.7142857142857,60359546,34.45969306282437,0.7086108396413149,5869046,0.0972347605132749
2021-03-25,23798,460,20721.428571428572,427.2857142857143,60359546,34.329994084827234,0.7079008087398707,6050988,0.10024906416625466
2021-03-26,23987,457,20588.571428571428,431.7142857142857,60359546,34.109884505379526,0.7152377947214609,6239940,0.10337950520701399
2021-03-27,23776,380,20195.428571428572,428.57142857142856,60359546,33.45854949178805,0.7100309014442033,6409591,0.10619017909776857
2021-03-28,19611,297,20373.85714285714,429.57142857142856,60359546,33.75415902375598,0.7116876402142397,6529377,0.10817472020084445
2021-03-29,12916,417,20352.571428571428,435.42857142857144,60359546,33.718894155650915,0.7213913958673106,6702750,0.1110470579086198
2021-03-30,16013,529,20059.0,438.85714285714283,60359546,33.23252298816164,0.7270716430788641,6892145,0.11418483830213037
2021-03-31,22516,467,19699.714285714286,438.2857142857143,60359546,32.63728041578425,0.7261249352102719,7103326,0.1176835558040811
2021-04-01,23649,501,19473.14285714286,442.42857142857144,60359546,32.26191074588742,0.7329885672575659,7296685,0.12088700932243593
2021-04-02,21932,481,19153.714285714286,425.14285714285717,60359546,31.732701047344335,0.7043506542326498,7496135,0.12419137479927367
2021-04-03,21261,376,17975.714285714286,409.7142857142857,60359546,29.78106277624137,0.6787895417806584,7662571,0.12694878453857159
2021-04-04,18025,326,16717.428571428572,432.57142857142856,60359546,27.696412049601186,0.7166578565243492,7737084,0.12818327029828885
2021-04-05,10680,296,15799.142857142857,430.57142857142856,60359546,26.175052504773408,0.7133443789842763,7867922,0.13035091417022918
2021-04-06,7767,421,15371.42857142857,464.42857142857144,60359546,25.46644166513209,0.7694368201983685,8073217,0.13375211602817555
2021-04-07,13708,627,14843.714285714286,459.85714285714283,60359546,24.592156948487133,0.7618631572496302,8311852,0.1377056745920521
2021-04-08,17221,487,14518.142857142857,460.57142857142856,60359546,24.05277014035668,0.7630465420853706,8556342,0.14175623521091427
2021-04-09,18938,718,14390.857142857143,469.42857142857144,60359546,23.841890962627755,0.7777205140485508,8804113,0.14586115342882136
2021-04-10,17567,344,15202.285714285714,477.2857142857143,60359546,25.186216136028783,0.7907377472416944,9051703,0.14996307294955466
2021-04-11,15746,331,15553.714285714286,454.7142857142857,60359546,25.768441475213027,0.7533427864322998,9209169,0.1525718732211803
2021-04-12,9789,358,15518.42857142857,439.42857142857144,60359546,25.70998226432745,0.7280183509474565,9410192,0.15590229919887072
2021-04-13,13447,476,15090.57142857143,398.14285714285717,60359546,25.001134747718993,0.659618707441665,9627765,0.15950691544300216
2021-04-14,16168,469,14776.714285714286,393.2857142857143,60359546,24.48115545089469,0.6515716905586306,9864235,0.16342460561250743
2021-04-15,16974,380,14340.714285714286,381.85714285714283,60359546,23.758817347158786,0.6326375331867851,10111361,0.16751883786534777
2021-04-16,15943,429,14208.57142857143,375.85714285714283,60359546,23.539891152546822,0.6226971005665662,10385898,0.1720671987824428
2021-04-17,15370,310,14012.42857142857,363.57142857142856,60359546,23.21493367665252,0.6023428813918325,10655789,0.17653858761628194
2021-04-18,12694,251,13680.42857142857,348.57142857142856,60359546,22.664896405000412,0.5774917998412854,10839528,0.17958266286495925
2021-04-19,8864,316,13548.42857142857,345.7142857142857,60359546,22.446206887355597,0.572758260498324,11057454,0.18319312739694896
2021-04-20,12074,390,13379.57142857143,333.2857142857143,60359546,22.166454712186585,0.5521673643564421,11287911,0.18701119786421191
2021-04-21,13844,364,13157.714285714286,335.0,60359546,21.798895382205636,0.555007487962219,11536253,0.19112557606049588
2021-04-22,16050,360,13224.0,330.14285714285717,60359546,21.90871349496234,0.5469604710791847,11792966,0.1953786398592196
2021-04-23,14761,342,13164.0,328.0,60359546,21.809309168760148,0.5434103165719636,12060726,0.1998147235898693
2021-04-24,13817,322,12925.42857142857,325.57142857142856,60359546,21.414058633622876,0.5393868081304464,12326732,0.2042217481224925
2021-04-25,13158,217,12859.857142857143,322.7142857142857,60359546,21.305423905701915,0.5346532687874851,12541807,0.20778497903214846
2021-04-26,8444,301,12612.714285714286,312.42857142857144,60359546,20.89597275253576,0.5176125271528242,12798081,0.21203076974767174
2021-04-27,10404,373,12424.857142857143,301.14285714285717,60359546,20.58474254073605,0.4989150467481269,13053588,0.21626385327682882
2021-04-28,13385,344,12303.142857142857,287.42857142857144,60359546,20.383093764725892,0.47619405790191244,13315794,0.22060792173619065
2021-04-29,14320,288,11730.285714285714,277.0,60359546,19.43401912646214,0.4589166393001034,13660940,0.22632608933142076
2021-04-30,13446,263,11373.714285714286,270.57142857142856,60359546,18.843273416460566,0.44826617577844036,13990162,0.23178043784491023
2021-05-01,12965,226,11189.714285714286,260.85714285714283,60359546,18.538433482773854,0.43217214201237175,14267099,0.23636856049248614
2021-05-02,9148,144,10789.714285714286,249.85714285714286,60359546,17.875737974759264,0.4139480155419706,14512678,0.24043716299655402
2021-05-03,5948,256,10430.714285714286,245.57142857142858,60359546,17.280968756316167,0.4068477065275285,14795501,0.24512280128813427
2021-05-04,9116,305,10017.57142857143,237.57142857142858,60359546,16.596498967323956,0.39359379636723674,15101393,0.25019063264657426
2021-05-05,10585,267,9619.142857142857,237.28571428571428,60359546,15.936406905947996,0.3931204424329406,15430870,0.2556492058439273
2021-05-06,11807,258,9496.857142857143,236.57142857142858,60359546,15.73381142206925,0.3919370575972002,15766885,0.2612160966220654
2021-05-07,10554,207,9372.857142857143,228.28571428571428,60359546,15.528375814584727,0.3782097935026123,16111192,0.2669203641790149
2021-05-08,10176,224,9062.857142857143,220.57142857142858,60359546,15.014786795873421,0.36542923727661664,16428143,0.27217141427803315
2021-05-09,8292,139,8672.42857142857,219.85714285714286,60359546,14.367948644657748,0.3642458524408763,16677008,0.27629445721808443
2021-05-10,5080,198,8140.714285714285,211.71428571428572,60359546,13.487036972932641,0.3507552653134365,16961479,0.2810073985645949
2021-05-11,6946,251,7714.0,208.14285714285714,60359546,12.780082872061364,0.3448383411347347,17254135,0.28585594397943287
2021-05-12,7852,262,7211.571428571428,195.57142857142858,60359546,11.947689978601609,0.3240107680257048,17568460,0.29106348811835
2021-05-13,8085,201,6848.857142857143,189.0,60359546,11.346767159012666,0.31312362753689366,17902066,0.2965904680595179
2021-05-14,7567,182,6616.714285714285,180.71428571428572,60359546,10.962167087397054,0.29939636344230575,18241919,0.30222094447164993
2021-05-15,6659,136,6260.428571428572,173.57142857142858,60359546,10.371894731329773,0.2875625150849023,18593410,0.30804423214183885
2021-05-16,5753,93,5925.285714285715,157.42857142857142,60359546,9.816650566400407,0.2608180177971707,18860449,0.3124683707859565
2021-05-17,3455,140,5590.428571428572,152.14285714285714,60359546,9.261879755405335,0.2520609700126922,19127207,0.31688785399413044
2021-05-18,4452,201,5254.857142857143,157.28571428571428,60359546,8.705925559574526,0.2605813408300226,19402827,0.321454157392105
2021-05-19,5506,149,4977.428571428572,155.71428571428572,60359546,8.246298889372977,0.2579778941913939,19702407,0.32641741539938024
2021-05-20,5741,164,4726.285714285715,152.71428571428572,60359546,7.830220781126675,0.2530076778812845,20006434,0.33145434857975903
2021-05-21,5218,218,4588.428571428572,148.42857142857142,60359546,7.60182750782879,0.2459073688668424,20327083,0.33676666487849327
2021-05-22,4717,125,4413.0,143.42857142857142,60359546,7.311188192170961,0.23762367501666004,20643310,0.34200572018881653
2021-05-23,3995,72,4188.857142857143,139.42857142857142,60359546,6.939842030715643,0.2309967199365141,20890219,0.3460963573185259
2021-05-24,2490,110,3961.1428571428573,140.42857142857142,60359546,6.562578945081624,0.2326534587065506,21159600,0.3505592967846378
2021-05-25,3224,166,3749.714285714286,127.28571428571429,60359546,6.212297033702483,0.2108791777289284,21423707,0.3549348598480181
2021-05-26,3937,121,3554.5714285714284,121.28571428571429,60359546,5.888996296578222,0.20093874510870954,21705870,0.3596095636637161
2021-05-27,4147,171,3405.1428571428573,117.28571428571429,60359546,5.6414321889413435,0.19431179002856366,22008191,0.3646182328806781
2021-05-28,3738,126,3309.4285714285716,113.28571428571429,60359546,5.482858620952139,0.18768483494841776,22324804,0.36986368320265367
2021-05-29,3351,83,3203.5714285714284,102.85714285714286,60359546,5.30748098829542,0.1704074163466088,22638111,0.3750543617408918
2021-05-30,2949,44,3055.0,94.42857142857143,60359546,5.06133694246143,0.1564434752848728,22888922,0.379209644817408
2021-05-31,1820,82,2743.714285714286,78.42857142857143,60359546,4.5456178310457895,0.12993565496428922,23209583,0.38452215992479466
2021-06-01,2483,93,2575.0,70.85714285714286,60359546,4.266102332843921,0.11739177570544161,23538623,0.38997349317372265
2021-06-02,2897,62,2444.285714285714,67.14285714285714,60359546,4.049542907903439,0.11123817455959185,23873442,0.3955205693561711
2021-06-03,1968,59,2348.0,68.14285714285714,60359546,3.8900226320456417,0.11289491332962831,24329908,0.4030830185502058
2021-06-04,2557,73,2269.8571428571427,65.71428571428571,60359546,3.760560331015649,0.10887140488811116,24826914,0.4113171096416133
2021-06-05,2436,57,2186.0,67.0,60359546,3.621630951299733,0.11100149759244379,25317768,0.4194492781638881
2021-06-06,2275,51,2086.285714285714,69.14285714285714,60359546,3.456430428230382,0.11455165209966481,25740340,0.42645019231920667
2021-06-07,1273,65,2102.1428571428573,73.28571428571429,60359546,3.482701571583817,0.12141528414695878,26188053,0.43386762716870003
2021-06-08,1896,102,2008.4285714285713,72.71428571428571,60359546,3.3274414811346844,0.12046857627836648,26641312,0.44137694475037964
2021-06-09,2199,77,1906.5714285714287,72.0,60359546,3.1586908035581125,0.11928519144262616,27103737,0.44903811900772084
2021-06-10,2079,88,1780.142857142857,68.42857142857143,60359546,2.9492316876320723,0.11336826726392446,27597833,0.45722399900092026
2021-06-11,1901,69,1727.857142857143,64.28571428571429,60359546,2.86260791765588,0.10650463521663052,28076082,0.465147335601232
2021-06-12,1723,52,1636.2857142857142,58.714285714285715,60359546,2.710897981713968,0.09727423349785586,28530401,0.472674214613874
2021-06-13,1390,26,1522.142857142857,55.142857142857146,60359546,2.521793084962662,0.09135730931915416,28881218,0.47848633586475287
2021-06-14,907,36,1414.4285714285713,47.857142857142854,60359546,2.3433386517330193,0.0792867839946027,29208031,0.48390077354127214
2021-06-15,1255,63,1306.7142857142858,43.0,60359546,2.164884218503376,0.0712397671115684,29524234,0.4891394312342906
2021-06-16,1400,52,1231.5714285714287,39.57142857142857,60359546,2.0403921337834925,0.06555951990001477,29838077,0.49433898989233616
2021-06-17,1325,37,1158.857142857143,38.285714285714285,60359546,1.9199235575051257,0.06342942719568216,30150233,0.4995105993673312
2021-06-18,1147,35,1100.0,36.142857142857146,60359546,1.8224126470401218,0.05987927268846115,30460418,0.5046495545211689
2021-06-19,1197,28,1040.0,31.571428571428573,60359546,1.7230083208379334,0.05230560973972297,30749732,0.5094427317263122
2021-06-20,881,17,975.8571428571429,25.857142857142858,60359546,1.616740362588451,0.04283853105380027,30969891,0.5130901912350367
2021-06-21,495,21,919.0,24.571428571428573,60359546,1.52254292966352,0.040708438349467656,31246219,0.5176682243435031
2021-06-22,835,31,862.7142857142857,27.571428571428573,60359546,1.4292922046071812,0.04567865465957708,31527754,0.5223325238397254
2021-06-23,951,12,811.4285714285714,29.285714285714285,60359546,1.3443251734010249,0.04851877826535389,31799987,0.5268427134955588
2021-06-24,927,28,797.2857142857143,28.857142857142858,60359546,1.3208941536533663,0.04780874736390969,32085606,0.5315746742031492
2021-06-25,753,56,782.1428571428571,29.857142857142858,60359546,1.295806395135671,0.04946548613394616,32360417,0.5361275745844741
2021-06-26,838,40,759.8571428571429,31.428571428571427,60359546,1.2588847882605727,0.052068932772574905,32619647,0.5404223384980398
2021-06-27,782,14,734.8571428571429,33.142857142857146,60359546,1.2174663190096606,0.05490905637835172,32826339,0.5438466849966035
2021-06-28,389,28,728.4285714285714,32.142857142857146,60359546,1.2068158554879977,0.05325231760831526,33083704,0.5481105507321079
2021-06-29,679,42,734.2857142857143,28.142857142857142,60359546,1.2165196111410685,0.04662536252816935,33322848,0.552072542096324
2021-06-30,776,24,747.7142857142857,25.571428571428573,60359546,1.2387672460529866,0.04236517711950413,33560085,0.5560029394521954
2021-07-01,882,21,751.4285714285714,25.285714285714285,60359546,1.2449208471988367,0.04189182318520799,33772125,0.5595158883401807
2021-07-02,794,28,764.4285714285714,25.714285714285715,60359546,1.2664584512093107,0.0426018540866522,33964389,0.5627012005690036
2021-07-03,932,22,797.0,23.142857142857142,60359546,1.3204207997190702,0.038341668677986974,34123652,0.5653397724363268
2021-07-04,808,12,830.4285714285714,21.714285714285715,60359546,1.3758032100317181,0.03597489900650631,34257964,0.5675649714131382
2021-07-05,480,31,903.5714285714286,20.571428571428573,60359546,1.4969818172115288,0.03408148326932176,34419095,0.5702344911606857
