date,cases,deaths,cases_smoothed,deaths_smoothed,population,cases_per_100000,deaths_per_100000,vaccinated,fraction_vaccinated
2020-12-29,81481,656,52923.71428571428,695.2857142857143,66647112,79.40886363645326,1.043234572993522,0,0.0
2020-12-30,70751,721,55785.142857142855,710.4285714285714,66647112,83.70226583432881,1.065955523216927,0,0.0
2020-12-31,52776,757,56851.71428571428,725.5714285714286,66647112,85.30259238496978,1.0886764734403325,0,0.0
2021-01-01,31830,748,61219.42857142857,748.7142857142857,66647112,91.8560860843131,1.12340094453648,0,0.0
2021-01-02,60395,760,58876.71428571428,784.4285714285714,66647112,88.3409836058827,1.1769880912897943,0,0.0
2021-01-03,55156,759,56964.857142857145,814.4285714285714,66647112,85.47235646588429,1.2220012945625782,0,0.0
2021-01-04,76147,840,56846.28571428572,848.2857142857143,66647112,85.29444713866329,1.2728019096847203,0,0.0
2021-01-05,65082,906,59009.857142857145,882.2857142857143,66647112,88.54075648897906,1.3238168733938753,0,0.0
2021-01-06,57368,931,55965.28571428572,919.1428571428571,66647112,83.97255940255253,1.3791188088432955,0,0.0
2021-01-07,51946,994,53276.0,967.1428571428571,66647112,79.93744725202797,1.45113993407975,0,0.0
2021-01-08,46975,986,50554.42857142857,1008.4285714285714,66647112,75.85389232083841,1.5130866757265813,0,0.0
2021-01-09,39083,1018,48309.28571428572,1051.857142857143,66647112,72.48518992733806,1.5782486461786116,0,0.0
2021-01-10,36331,1095,46598.0,1092.2857142857142,66647112,69.91750820350626,1.6389092963033631,2286572,0.0343086434112854
2021-01-11,57096,1129,45229.71428571428,1125.5714285714287,66647112,67.86447743709327,1.6888525170774522,2431648,0.03648542190395287
2021-01-12,49366,1210,44287.57142857143,1159.7142857142858,66647112,66.45084850574085,1.7400818293736207,2639309,0.03960125083889607
2021-01-13,45389,1214,43064.28571428572,1200.857142857143,66647112,64.61538155514633,1.8018142224334386,2918252,0.04378662349240279
2021-01-14,42368,1227,41994.0,1225.4285714285713,66647112,63.009481941243,1.8386821793997183,3234946,0.048538427291493144
2021-01-15,40380,1225,40231.57142857143,1249.0,66647112,60.36506342326045,1.8740496962569062,3576263,0.05365968445864541
2021-01-16,30520,1306,38815.28571428572,1270.2857142857142,66647112,58.240011531611025,1.9059876357218812,3872394,0.058102952758103
2021-01-17,28839,1267,37340.142857142855,1282.0,66647112,56.02664802211213,1.9235642198569685,4062501,0.06095539443629605
2021-01-18,44759,1294,35809.28571428572,1283.142857142857,66647112,53.729688563678074,1.9252790085530744,4266577,0.06401743259332827
2021-01-19,39452,1359,34257.142857142855,1285.857142857143,66647112,51.40079116577903,1.9293516317063264,4609740,0.0691663878848944
2021-01-20,35063,1296,33014.0,1265.5714285714287,66647112,49.53552976158967,1.8989141323504442,4973248,0.07462060771665545
2021-01-21,31652,1235,31344.14285714286,1249.857142857143,66647112,47.03000912799171,1.8753357877789856,5383103,0.08077023652577774
2021-01-22,29515,1244,29220.85714285714,1231.2857142857142,66647112,43.844146079213665,1.847470471467262,5861351,0.08794606133871187
