date,cases,deaths,cases_smoothed,deaths_smoothed,population,cases_per_100000,deaths_per_100000,vaccinated,fraction_vaccinated
2021-01-09,4736,89,4987.571428571428,91.85714285714286,10230185,48.75348225444045,0.8979030472776676,16520,0.0016148290573435378
2021-01-10,2317,92,5211.142857142857,93.14285714285714,10230185,50.93889169299341,0.9104708970840424,52845,0.00516559573458349
2021-01-11,4648,89,4867.428571428572,92.0,10230185,47.57908651142253,0.8992994750339314,52845,0.00516559573458349
2021-01-12,5340,89,4654.857142857143,90.71428571428571,10230185,45.5012020101019,0.8867316252275566,52845,0.00516559573458349
2021-01-13,6594,91,4287.0,89.85714285714286,10230185,41.905400537722436,0.8783530586899734,52845,0.00516559573458349
2021-01-14,4744,95,4134.571428571428,85.42857142857143,10230185,40.41541212178888,0.8350637982457936,52845,0.00516559573458349
2021-01-15,4205,90,3772.4285714285716,83.0,10230185,36.87546775965998,0.8113245263893077,52845,0.00516559573458349
2021-01-16,2161,83,3685.5714285714284,83.42857142857143,10230185,36.02643968385154,0.8155138096580994,52845,0.00516559573458349
2021-01-17,1250,61,3450.5714285714284,82.85714285714286,10230185,33.729316024797484,0.8099280986330438,132054,0.012908270964796823
2021-01-18,2113,72,3372.5714285714284,81.85714285714286,10230185,32.96686646987742,0.8001531043391967,132054,0.012908270964796823
2021-01-19,4732,92,3303.714285714286,77.42857142857143,10230185,32.293788291358226,0.7568638438950168,132054,0.012908270964796823
2021-01-20,4949,87,3333.285714285714,74.71428571428571,10230185,32.58284883690485,0.7303317165260033,132054,0.012908270964796823
2021-01-21,4198,88,3318.5714285714284,73.28571428571429,10230185,32.43901677800967,0.7163674389633647,132054,0.012908270964796823
2021-01-22,3723,59,3285.8571428571427,71.42857142857143,10230185,32.119234821825245,0.6982138781319344,132054,0.012908270964796823
2021-01-23,2368,64,3208.1428571428573,67.85714285714286,10230185,31.359578122417698,0.6633031842253377,132054,0.012908270964796823
2021-01-24,1147,51,3087.714285714286,63.142857142857146,10230185,30.182389523887256,0.61722106826863,237253,0.023191467211981016
2021-01-25,1884,59,2826.4285714285716,58.42857142857143,10230185,27.628323157680644,0.5711389523119224,237253,0.023191467211981016
2021-01-26,4188,67,2902.285714285714,58.285714285714285,10230185,28.369826296256754,0.5697425245556584,237253,0.023191467211981016
2021-01-27,4106,54,2949.0,57.285714285714285,10230185,28.826458172555043,0.5599675302618113,237253,0.023191467211981016
2021-01-28,2369,55,2951.4285714285716,55.57142857142857,10230185,28.850197444411528,0.5432103971866449,237253,0.023191467211981016
2021-01-29,4254,58,2904.0,53.714285714285715,10230185,28.38658342933192,0.5250568363552147,237253,0.023191467211981016
2021-01-30,2695,57,2922.1428571428573,50.285714285714285,10230185,28.563929754377437,0.4915425702048818,237253,0.023191467211981016
2021-01-31,1164,39,2869.4285714285716,50.0,10230185,28.048647912316067,0.488749714692354,301982,0.02951872326844529
2021-02-01,1552,46,3016.0,46.42857142857143,10230185,29.481382790242797,0.4538390207857574,301982,0.02951872326844529
2021-02-02,4315,43,2874.0,43.285714285714285,10230185,28.093333600516512,0.42311761014795224,301982,0.02951872326844529
2021-02-03,3737,52,2822.285714285714,39.857142857142854,10230185,27.587826752748988,0.3896033439976193,301982,0.02951872326844529
2021-02-04,3395,30,2800.714285714286,38.42857142857143,10230185,27.376966161553145,0.3756390664349807,301982,0.02951872326844529
2021-02-05,3260,36,2794.0,37.42857142857143,10230185,27.311334057008743,0.36586407214113364,301982,0.02951872326844529
2021-02-06,2333,33,2758.714285714286,34.857142857142854,10230185,26.96641640121157,0.3407283725283839,301982,0.02951872326844529
2021-02-07,1013,29,2846.714285714286,31.285714285714285,10230185,27.826615899070113,0.3058176786217872,345327,0.03375569454511331
2021-02-08,1505,39,2905.4285714285716,31.714285714285715,10230185,28.400547706894564,0.31000696189057886,345327,0.03375569454511331
2021-02-09,4068,25,2949.5714285714284,30.571428571428573,10230185,28.8320438835801,0.2988355398404679,345327,0.03375569454511331
2021-02-10,4353,27,3012.1428571428573,29.428571428571427,10230185,29.443679240823677,0.28766411779035694,345327,0.03375569454511331
2021-02-11,3806,33,3040.4285714285716,29.285714285714285,10230185,29.72017193656392,0.2862676900340931,345327,0.03375569454511331
2021-02-12,3569,28,3097.1428571428573,27.0,10230185,30.274553755800678,0.26392484593387117,345327,0.03375569454511331
2021-02-13,2771,25,3116.8571428571427,26.571428571428573,10230185,30.467260786165085,0.2597355626650796,345327,0.03375569454511331
2021-02-14,1211,28,3204.285714285714,27.571428571428573,10230185,31.32187457299857,0.2695105569589267,391798,0.03829823214340699
2021-02-15,1902,23,3251.1428571428573,25.285714285714285,10230185,31.77990287705313,0.24716771285870476,391798,0.03829823214340699
2021-02-16,4206,22,3316.714285714286,24.857142857142858,10230185,32.420863217178244,0.24297842958991317,391798,0.03829823214340699
2021-02-17,4965,34,3318.1428571428573,25.428571428571427,10230185,32.43482749474088,0.2485641406149686,391798,0.03829823214340699
2021-02-18,4134,17,3373.5714285714284,24.428571428571427,10230185,32.97664146417126,0.23878914632112153,391798,0.03829823214340699
2021-02-19,4028,25,3465.1428571428573,24.714285714285715,10230185,33.8717516559364,0.2415820018336493,391798,0.03829823214340699
2021-02-20,2781,29,3636.714285714286,23.428571428571427,10230185,35.54886139120931,0.22901415202727443,391798,0.03829823214340699
2021-02-21,1599,21,3638.4285714285716,22.285714285714285,10230185,35.565618524284474,0.2178427299771635,462045,0.045164872385005744
2021-02-22,2543,25,3738.0,22.714285714285715,10230185,36.53892867040039,0.22203201324595512,462045,0.045164872385005744
2021-02-23,5407,13,3817.285714285714,21.714285714285715,10230185,37.313946075126836,0.21225701895210808,462045,0.045164872385005744
2021-02-24,4977,26,3863.8571428571427,20.285714285714285,10230185,37.769181523668856,0.19829274138946934,462045,0.045164872385005744
2021-02-25,4831,20,3812.8571428571427,20.857142857142858,10230185,37.27065681468265,0.20387845241452485,462045,0.045164872385005744
2021-02-26,4583,18,3853.5714285714284,20.714285714285715,10230185,37.66863872521785,0.20248202465826096,462045,0.045164872385005744
2021-02-27,3107,19,3965.4285714285716,22.142857142857142,10230185,38.76204165837247,0.21644630222089967,462045,0.045164872385005744
2021-02-28,1242,25,3950.5714285714284,21.0,10230185,38.61681317172103,0.2052748801707887,563888,0.05512001982368843
