date,region,apple_driving,apple_walking,apple_transit,apple,google_retail,google_grocery,google_workplaces,google_residential,google
2020-02-26,central,113.41,108.25,126.36,116.00666666666666,-4,-2,3,1,-1.0
2020-02-26,north,110.32,108.09,,,0,-2,3,0,0.3333333333333333
2020-02-26,zealand,107.47,100.41,114.91,107.59666666666665,-1,-1,2,1,0.0
2020-02-26,south,110.84,103.14,106.39,106.79,-2,-3,3,1,-0.6666666666666666
2020-02-27,capital,109.53,114.41,100.32,108.08666666666666,3,2,2,0,2.3333333333333335
2020-02-27,central,116.21,131.35,127.4,124.98666666666668,2,1,2,0,1.6666666666666667
2020-02-27,north,111.11,109.71,,,1,0,4,0,1.6666666666666667
2020-02-27,zealand,115.07,104.13,116.88,112.02666666666666,3,2,2,1,2.3333333333333335
2020-02-27,south,112.11,107.67,102.24,107.33999999999999,2,1,3,0,2.0
2020-02-28,capital,118.47,148.22,115.51,127.39999999999999,12,-2,2,0,4.0
2020-02-28,central,134.13,156.72,149.64,146.83,17,-1,2,-1,6.0
2020-02-28,north,129.58,153.9,,,20,4,2,-1,8.666666666666666
2020-02-28,zealand,115.17,132.29,129.48,125.64666666666665,19,4,2,-1,8.333333333333334
2020-02-28,south,129.27,139.8,124.09,131.05333333333337,23,1,3,-1,9.0
2020-02-29,capital,108.5,139.43,122.59,123.50666666666666,5,-7,1,0,-0.3333333333333333
2020-02-29,central,122.83,135.09,119.89,125.93666666666667,11,-3,0,0,2.6666666666666665
2020-02-29,north,119.34,119.84,,,12,-2,-1,0,3.0
2020-02-29,zealand,111.9,117.86,126.82,118.86,11,-1,-1,0,3.0
2020-02-29,south,126.81,132.08,108.75,122.54666666666667,14,-2,2,-1,4.666666666666667
2020-03-01,capital,100.17,98.16,100.78,99.70333333333333,20,-9,2,0,4.333333333333333
2020-03-01,central,110.77,89.13,113.57,104.49,17,-8,-1,0,2.6666666666666665
2020-03-01,north,111.24,91.4,,,17,-5,-1,0,3.6666666666666665
2020-03-01,zealand,114.02,94.65,123.14,110.60333333333334,20,-4,1,-1,5.666666666666667
2020-03-01,south,115.25,95.61,115.72,108.86000000000001,26,-6,1,-1,7.0
2020-03-02,capital,100.51,101.29,94.54,98.78000000000002,12,-7,2,0,2.3333333333333335
2020-03-02,central,106.11,107.32,111.4,108.27666666666669,11,-7,2,0,2.0
2020-03-02,north,105.79,112.83,,,11,0,4,0,5.0
2020-03-02,zealand,105.43,106.5,108.4,106.77666666666669,13,-4,1,0,3.3333333333333335
2020-03-02,south,104.57,109.46,112.08,108.70333333333332,13,-5,1,0,3.0
2020-03-03,capital,104.08,102.18,99.05,101.77,7,-6,2,0,1.0
2020-03-03,central,112.08,106.19,115.18,111.14999999999999,8,-7,2,0,1.0
2020-03-03,north,112.49,112.65,,,11,-3,3,0,3.6666666666666665
2020-03-03,zealand,107.61,113.4,117.74,112.91666666666667,11,-2,2,0,3.6666666666666665
2020-03-03,south,111.03,117.12,108.5,112.21666666666665,13,-5,2,0,3.3333333333333335
2020-03-04,capital,105.74,106.7,98.28,103.57333333333334,8,-7,2,1,1.0
2020-03-04,central,111.45,118.6,109.83,113.29333333333334,10,-6,2,0,2.0
2020-03-04,north,118.75,128.38,,,11,-2,3,0,4.0
2020-03-04,zealand,108.24,108.77,116.45,111.15333333333332,11,-4,1,1,2.6666666666666665
2020-03-04,south,111.61,119.31,109.78,113.56666666666668,13,-5,2,0,3.3333333333333335
2020-03-05,capital,106.4,112.64,101.19,106.74333333333334,8,-5,2,0,1.6666666666666667
2020-03-05,central,115.07,122.92,110.95,116.31333333333333,11,-5,1,0,2.3333333333333335
2020-03-05,north,114.25,134.52,,,11,1,3,0,5.0
2020-03-05,zealand,110.04,110.94,111.31,110.76333333333334,13,-1,1,0,4.333333333333333
2020-03-05,south,114.06,114.73,104.54,111.11000000000001,14,-3,2,0,4.333333333333333
2020-03-06,capital,110.99,139.56,113.97,121.50666666666666,2,-5,1,1,-0.6666666666666666
2020-03-06,central,127.82,139.66,119.81,129.09666666666666,9,-5,1,0,1.6666666666666667
2020-03-06,north,124.96,142.22,,,8,0,3,0,3.6666666666666665
2020-03-06,zealand,112.42,126.64,125.28,121.44666666666667,8,-2,0,1,2.0
2020-03-06,south,127.05,129.52,112.78,123.11666666666667,10,-5,1,0,2.0
2020-03-07,capital,105.33,146.16,110.72,120.73666666666668,5,-4,1,0,0.6666666666666666
2020-03-07,central,122.52,138.79,106.36,122.55666666666667,11,-2,0,-1,3.0
2020-03-07,north,123.66,140.39,,,14,1,1,-1,5.333333333333333
2020-03-07,zealand,112.51,137.52,120.82,123.61666666666667,11,1,1,0,4.333333333333333
2020-03-07,south,117.9,134.97,100.77,117.88,14,-2,0,-1,4.0
2020-03-08,capital,95.12,92.55,93.69,93.78666666666668,9,-8,-1,0,0.0
2020-03-08,central,110.93,87.24,100.82,99.66333333333334,9,-10,-3,1,-1.3333333333333333
2020-03-08,north,110.51,80.86,,,4,-6,-3,0,-1.6666666666666667
2020-03-08,zealand,111.83,92.96,122.28,109.02333333333333,14,-4,-1,0,3.0
2020-03-08,south,109.0,87.81,105.3,100.70333333333333,14,-8,-2,0,1.3333333333333333
2020-03-09,capital,96.59,91.76,90.17,92.84000000000002,3,-9,0,2,-2.0
2020-03-09,central,105.81,103.12,109.87,106.26666666666667,6,-7,1,1,0.0
2020-03-09,north,106.6,107.76,,,6,-1,2,1,2.3333333333333335
2020-03-09,zealand,103.09,108.35,105.06,105.5,7,-4,0,1,1.0
2020-03-09,south,104.66,103.89,93.74,100.76333333333334,9,-5,1,1,1.6666666666666667
2020-03-10,capital,97.55,89.99,88.47,92.00333333333333,-1,-4,-1,2,-2.0
2020-03-10,central,101.98,99.19,106.88,102.68333333333334,4,-5,0,2,-0.3333333333333333
2020-03-10,north,104.74,103.02,,,2,0,1,1,1.0
2020-03-10,zealand,102.32,96.21,100.6,99.71,6,-3,0,2,1.0
2020-03-10,south,104.95,96.85,87.48,96.42666666666668,6,-5,1,2,0.6666666666666666
2020-03-11,capital,88.92,87.88,76.74,84.51333333333334,4,7,-3,3,2.6666666666666665
2020-03-11,central,90.78,96.32,80.56,89.21999999999998,5,3,-1,2,2.3333333333333335
2020-03-11,north,91.92,95.83,,,5,6,0,2,3.6666666666666665
2020-03-11,zealand,91.6,97.48,87.49,92.19,10,6,-1,2,5.0
2020-03-11,south,92.61,98.82,70.8,87.41000000000001,9,3,0,1,4.0
2020-03-12,capital,65.21,52.31,46.55,54.69,-17,22,-33,14,-9.333333333333334
2020-03-12,central,68.9,55.17,53.05,59.04,-8,21,-28,12,-5.0
2020-03-12,north,72.84,61.79,,,-10,29,-25,10,-2.0
2020-03-12,zealand,71.48,62.13,57.93,63.84666666666667,-4,23,-25,11,-2.0
2020-03-12,south,71.94,59.41,55.27,62.20666666666667,-5,22,-24,10,-2.3333333333333335
2020-03-13,capital,62.0,55.43,39.95,52.46,-34,-8,-50,20,-30.666666666666668
2020-03-13,central,69.59,69.42,58.13,65.71333333333332,-26,-10,-43,16,-26.333333333333332
2020-03-13,north,75.35,79.67,,,-28,-5,-41,14,-24.666666666666668
2020-03-13,zealand,69.41,68.45,59.81,65.89,-20,-6,-40,15,-22.0
2020-03-13,south,72.79,70.07,56.68,66.51333333333334,-22,-8,-39,14,-23.0
2020-03-14,capital,57.09,60.71,36.16,51.32,-36,-10,-18,8,-21.333333333333332
2020-03-14,central,63.97,70.07,44.93,59.656666666666666,-32,-11,-16,8,-19.666666666666668
2020-03-14,north,71.78,78.28,,,-31,-4,-16,7,-17.0
2020-03-14,zealand,65.5,84.14,57.33,68.99,-24,-6,-13,7,-14.333333333333334
2020-03-14,south,63.33,73.12,47.67,61.373333333333335,-27,-9,-14,7,-16.666666666666668
2020-03-15,capital,50.13,39.87,29.0,39.666666666666664,-40,-25,-23,9,-29.333333333333332
2020-03-15,central,58.39,50.09,40.37,49.61666666666667,-34,-27,-24,8,-28.333333333333332
2020-03-15,north,63.39,55.34,,,-36,-19,-24,8,-26.333333333333332
2020-03-15,zealand,64.81,66.35,56.38,62.51333333333333,-25,-19,-20,7,-21.333333333333332
2020-03-15,south,59.43,57.66,47.09,54.72666666666667,-27,-24,-21,8,-24.0
2020-03-16,capital,56.66,45.36,26.93,42.98333333333333,-29,-16,-58,20,-34.333333333333336
2020-03-16,central,64.79,65.33,41.64,57.25333333333333,-23,-16,-49,16,-29.333333333333332
2020-03-16,north,70.2,78.46,,,-22,-8,-46,15,-25.333333333333332
2020-03-16,zealand,69.59,74.08,58.7,67.45666666666666,-18,-11,-48,16,-25.666666666666668
2020-03-16,south,65.29,71.26,48.24,61.59666666666667,-21,-14,-45,15,-26.666666666666668
2020-03-17,capital,54.5,41.9,23.5,39.96666666666667,-30,-3,-60,21,-31.0
2020-03-17,central,58.9,56.23,35.89,50.339999999999996,-26,-8,-50,18,-28.0
2020-03-17,north,65.64,66.92,,,-27,-2,-48,16,-25.666666666666668
2020-03-17,zealand,65.34,68.59,47.04,60.32333333333333,-15,-1,-49,16,-21.666666666666668
2020-03-17,south,61.07,59.38,40.83,53.76,-22,-6,-47,16,-25.0
2020-03-18,capital,50.28,37.94,20.62,36.28,-48,-24,-62,24,-44.666666666666664
2020-03-18,central,56.85,51.71,36.22,48.26,-40,-21,-53,20,-38.0
2020-03-18,north,63.17,64.11,,,-39,-15,-50,18,-34.666666666666664
2020-03-18,zealand,62.35,65.42,47.9,58.55666666666667,-32,-19,-52,19,-34.333333333333336
2020-03-18,south,57.45,56.02,36.36,49.94333333333333,-37,-20,-49,18,-35.333333333333336
2020-03-19,capital,54.29,47.15,24.42,41.95333333333333,-45,-21,-63,23,-43.0
2020-03-19,central,61.06,64.6,38.24,54.63333333333333,-38,-22,-54,20,-38.0
2020-03-19,north,69.47,68.27,,,-39,-16,-51,18,-35.333333333333336
2020-03-19,zealand,66.72,83.06,46.62,65.46666666666667,-30,-18,-52,18,-33.333333333333336
2020-03-19,south,61.21,65.26,39.74,55.403333333333336,-36,-21,-50,17,-35.666666666666664
2020-03-20,capital,52.84,44.64,21.96,39.81333333333333,-51,-23,-63,25,-45.666666666666664
2020-03-20,central,62.66,63.0,36.9,54.18666666666667,-42,-25,-54,20,-40.333333333333336
2020-03-20,north,74.6,79.79,,,-41,-19,-51,19,-37.0
2020-03-20,zealand,65.61,75.67,51.07,64.11666666666666,-35,-21,-53,19,-36.333333333333336
2020-03-20,south,63.69,66.43,41.28,57.13333333333333,-39,-23,-51,18,-37.666666666666664
2020-03-21,capital,49.46,48.33,21.04,39.60999999999999,-56,-23,-33,12,-37.333333333333336
2020-03-21,central,58.61,65.91,36.52,53.68,-46,-23,-26,11,-31.666666666666668
2020-03-21,north,70.85,81.05,,,-44,-16,-24,10,-28.0
2020-03-21,zealand,63.39,90.02,51.24,68.21666666666667,-38,-17,-24,10,-26.333333333333332
2020-03-21,south,57.84,69.3,42.17,56.43666666666667,-44,-20,-25,11,-29.666666666666668
2020-03-22,capital,47.27,39.68,21.21,36.053333333333335,-51,-27,-33,10,-37.0
2020-03-22,central,58.58,60.76,35.96,51.76666666666667,-34,-27,-27,9,-29.333333333333332
2020-03-22,north,70.22,71.79,,,-34,-19,-26,8,-26.333333333333332
2020-03-22,zealand,64.71,73.61,50.64,62.98666666666666,-30,-22,-25,8,-25.666666666666668
2020-03-22,south,58.17,64.84,41.15,54.72,-31,-25,-27,9,-27.666666666666668
2020-03-23,capital,52.65,41.11,19.86,37.87333333333333,-43,-22,-63,22,-42.666666666666664
2020-03-23,central,60.17,60.68,34.99,51.946666666666665,-33,-21,-53,18,-35.666666666666664
2020-03-23,north,70.05,73.37,,,-32,-16,-51,17,-33.0
2020-03-23,zealand,67.15,79.33,53.21,66.56333333333335,-27,-19,-52,17,-32.666666666666664
2020-03-23,south,62.44,65.53,41.66,56.54333333333333,-32,-20,-50,17,-34.0
2020-03-24,capital,53.61,42.63,20.89,39.04333333333334,-44,-20,-64,22,-42.666666666666664
2020-03-24,central,62.19,58.59,34.43,51.73666666666667,-36,-21,-54,19,-37.0
2020-03-24,north,71.96,79.51,,,-36,-16,-51,17,-34.333333333333336
2020-03-24,zealand,68.89,79.88,49.01,65.92666666666666,-26,-16,-52,17,-31.333333333333332
2020-03-24,south,62.79,67.07,40.51,56.78999999999999,-32,-17,-50,17,-33.0
2020-03-25,capital,55.54,44.93,20.53,40.333333333333336,-43,-20,-63,23,-42.0
2020-03-25,central,64.41,62.96,34.73,54.03333333333333,-36,-19,-53,19,-36.0
2020-03-25,north,75.14,83.2,,,-35,-15,-50,17,-33.333333333333336
2020-03-25,zealand,70.99,85.25,50.99,69.07666666666667,-26,-16,-52,18,-31.333333333333332
2020-03-25,south,66.72,76.05,44.41,62.393333333333324,-31,-18,-49,17,-32.666666666666664
2020-03-26,capital,56.92,47.3,21.33,41.85,-44,-19,-63,23,-42.0
2020-03-26,central,65.07,64.54,34.62,54.74333333333334,-35,-19,-53,19,-35.666666666666664
2020-03-26,north,78.59,92.32,,,-34,-12,-50,17,-32.0
2020-03-26,zealand,72.45,83.55,52.36,69.45333333333333,-25,-14,-52,18,-30.333333333333332
2020-03-26,south,67.86,73.88,40.51,60.75,-32,-16,-49,17,-32.333333333333336
2020-03-27,capital,59.41,52.95,21.46,44.60666666666666,-48,-19,-63,23,-43.333333333333336
2020-03-27,central,68.57,71.34,36.41,58.77333333333333,-37,-20,-54,19,-37.0
2020-03-27,north,79.7,88.67,,,-36,-14,-51,17,-33.666666666666664
2020-03-27,zealand,73.68,89.45,48.07,70.39999999999999,-28,-16,-51,18,-31.666666666666668
2020-03-27,south,68.44,78.56,42.94,63.31333333333333,-34,-18,-50,17,-34.0
2020-03-28,capital,54.23,52.5,22.05,42.92666666666667,-53,-18,-33,11,-34.666666666666664
2020-03-28,central,65.83,71.92,38.65,58.800000000000004,-41,-15,-26,10,-27.333333333333332
2020-03-28,north,76.51,86.12,,,-38,-10,-25,10,-24.333333333333332
2020-03-28,zealand,70.75,92.28,51.33,71.45333333333333,-32,-10,-24,10,-22.0
2020-03-28,south,64.12,78.07,46.07,62.75333333333333,-38,-12,-26,10,-25.333333333333332
2020-03-29,capital,51.79,41.17,20.76,37.90666666666667,-48,-24,-33,10,-35.0
2020-03-29,central,62.21,59.41,38.99,53.53666666666667,-34,-23,-26,9,-27.666666666666668
2020-03-29,north,73.51,78.5,,,-34,-16,-26,8,-25.333333333333332
2020-03-29,zealand,69.49,69.56,49.79,62.946666666666665,-28,-17,-25,8,-23.333333333333332
2020-03-29,south,59.27,60.64,46.45,55.45333333333334,-30,-22,-28,9,-26.666666666666668
2020-03-30,capital,57.39,43.56,21.9,40.949999999999996,-39,-21,-62,22,-40.666666666666664
2020-03-30,central,66.55,62.07,37.23,55.28333333333333,-31,-20,-53,18,-34.666666666666664
2020-03-30,north,73.85,74.11,,,-31,-13,-49,16,-31.0
2020-03-30,zealand,73.2,81.28,47.13,67.20333333333333,-23,-16,-51,17,-30.0
2020-03-30,south,68.19,68.49,46.9,61.193333333333335,-29,-18,-49,16,-32.0
2020-03-31,capital,64.5,49.33,22.95,45.593333333333334,-33,-9,-62,21,-34.666666666666664
2020-03-31,central,71.82,66.91,37.76,58.82999999999999,-24,-6,-52,17,-27.333333333333332
2020-03-31,north,79.64,86.76,,,-22,1,-49,16,-23.333333333333332
2020-03-31,zealand,79.76,88.08,53.9,73.91333333333334,-8,0,-50,15,-19.333333333333332
2020-03-31,south,73.42,78.39,47.54,66.45,-15,-1,-48,15,-21.333333333333332
2020-04-01,capital,62.28,44.64,23.53,43.48333333333333,-40,-17,-62,23,-39.666666666666664
2020-04-01,central,71.21,62.58,34.58,56.123333333333335,-31,-13,-52,18,-32.0
2020-04-01,north,79.45,80.18,,,-28,-6,-49,16,-27.666666666666668
2020-04-01,zealand,78.7,75.72,48.41,67.61,-18,-10,-50,17,-26.0
2020-04-01,south,73.26,67.11,45.11,61.826666666666675,-26,-10,-49,16,-28.333333333333332
2020-04-02,capital,62.32,42.96,24.53,43.27,-43,-17,-63,23,-41.0
2020-04-02,central,70.08,61.1,37.94,56.373333333333335,-33,-14,-53,19,-33.333333333333336
2020-04-02,north,77.72,68.79,,,-33,-10,-50,18,-31.0
2020-04-02,zealand,77.16,77.48,51.93,68.85666666666667,-20,-10,-51,18,-27.0
2020-04-02,south,73.74,69.66,40.45,61.283333333333324,-28,-12,-49,17,-29.666666666666668
2020-04-03,capital,64.07,47.65,23.66,45.126666666666665,-47,-12,-62,23,-40.333333333333336
2020-04-03,central,74.52,64.81,35.29,58.206666666666656,-35,-12,-53,19,-33.333333333333336
2020-04-03,north,85.12,82.11,,,-31,-7,-50,17,-29.333333333333332
2020-04-03,zealand,79.72,90.43,50.21,73.45333333333333,-21,-9,-51,17,-27.0
2020-04-03,south,78.04,74.79,39.23,64.02,-28,-10,-49,17,-29.0
2020-04-04,capital,60.53,54.26,26.18,46.99,-49,-11,-31,11,-30.333333333333332
2020-04-04,central,70.15,73.12,39.89,61.05333333333334,-38,-9,-23,9,-23.333333333333332
2020-04-04,north,80.65,82.38,,,-33,-5,-20,9,-19.333333333333332
2020-04-04,zealand,75.17,93.69,56.64,75.16666666666667,-24,-5,-21,9,-16.666666666666668
2020-04-04,south,69.86,74.46,47.28,63.86666666666667,-33,-8,-22,9,-21.0
2020-04-05,capital,64.84,57.36,26.05,49.416666666666664,-36,-14,-28,7,-26.0
2020-04-05,central,78.39,81.31,45.08,68.25999999999999,-21,-12,-21,7,-18.0
2020-04-05,north,92.6,110.84,,,-18,-6,-20,6,-14.666666666666666
2020-04-05,zealand,86.81,104.3,62.21,84.44000000000001,-6,-8,-19,6,-11.0
2020-04-05,south,78.51,87.3,51.18,72.33,-12,-11,-22,6,-15.0
2020-04-06,capital,73.13,62.53,27.2,54.28666666666666,-27,-10,-66,19,-34.333333333333336
2020-04-06,central,87.26,91.31,42.73,73.76666666666667,-14,-6,-59,16,-26.333333333333332
2020-04-06,north,106.15,116.63,,,-8,2,-54,14,-20.0
2020-04-06,zealand,95.65,124.39,65.47,95.17,2,-3,-56,15,-19.0
2020-04-06,south,89.12,101.32,57.64,82.69333333333333,-8,-4,-54,14,-22.0
2020-04-07,capital,75.52,64.99,27.85,56.12,-27,-2,-66,19,-31.666666666666668
2020-04-07,central,89.63,86.64,45.53,73.93333333333332,-13,4,-59,16,-22.666666666666668
2020-04-07,north,107.05,117.12,,,-7,11,-55,14,-17.0
2020-04-07,zealand,98.36,117.12,61.95,92.47666666666667,6,7,-56,15,-14.333333333333334
2020-04-07,south,91.37,106.22,56.36,84.64999999999999,-4,5,-55,14,-18.0
2020-04-08,capital,76.83,62.19,26.42,55.14666666666667,-23,3,-66,18,-28.666666666666668
2020-04-08,central,94.11,91.58,46.39,77.36,-8,12,-60,14,-18.666666666666668
2020-04-08,north,111.74,120.82,,,1,19,-55,13,-11.666666666666666
2020-04-08,zealand,100.4,127.89,67.18,98.49000000000001,13,16,-56,14,-9.0
2020-04-08,south,95.36,104.08,60.38,86.60666666666667,2,12,-56,13,-14.0
2020-04-09,capital,60.99,56.59,25.84,47.80666666666667,-50,-23,-83,23,-52.0
2020-04-09,central,78.55,78.84,43.89,67.09333333333332,-41,-16,-83,22,-46.666666666666664
2020-04-09,north,99.39,109.67,,,-32,-8,-81,21,-40.333333333333336
2020-04-09,zealand,86.11,115.3,68.81,90.07333333333334,-28,-14,-80,22,-40.666666666666664
2020-04-09,south,77.84,85.59,52.72,72.05,-34,-13,-81,21,-42.666666666666664
2020-04-10,capital,61.26,58.53,26.34,48.71,-67,-41,-84,26,-64.0
2020-04-10,central,78.2,77.77,45.01,66.99333333333333,-62,-39,-83,24,-61.333333333333336
2020-04-10,north,101.81,114.48,,,-53,-28,-81,22,-54.0
2020-04-10,zealand,87.0,120.0,67.1,91.36666666666667,-52,-34,-81,23,-55.666666666666664
2020-04-10,south,77.8,86.73,51.88,72.13666666666667,-56,-35,-81,22,-57.333333333333336
2020-04-11,capital,61.0,55.53,25.6,47.376666666666665,-44,1,-27,9,-23.333333333333332
2020-04-11,central,72.19,63.45,39.18,58.27333333333333,-32,3,-24,9,-17.666666666666668
2020-04-11,north,87.43,77.45,,,-27,5,-21,9,-14.333333333333334
2020-04-11,zealand,85.67,104.9,68.72,86.42999999999999,-11,9,-18,7,-6.666666666666667
2020-04-11,south,74.49,86.34,50.16,70.33,-24,7,-20,8,-12.333333333333334
2020-04-12,capital,59.84,56.2,26.58,47.54,-48,-24,-26,6,-32.666666666666664
2020-04-12,central,75.72,75.31,44.26,65.09666666666666,-38,-21,-24,6,-27.666666666666668
2020-04-12,north,87.75,86.2,,,-33,-14,-22,6,-23.0
2020-04-12,zealand,83.12,99.17,63.41,81.9,-24,-16,-19,5,-19.666666666666668
2020-04-12,south,75.23,92.26,59.36,75.61666666666667,-26,-18,-22,5,-22.0
2020-04-13,capital,63.12,48.65,27.52,46.43,-63,-39,-85,25,-62.333333333333336
2020-04-13,central,77.54,73.49,45.46,65.49666666666667,-56,-30,-84,24,-56.666666666666664
2020-04-13,north,88.18,84.44,,,-48,-20,-82,22,-50.0
2020-04-13,zealand,85.76,85.47,63.07,78.10000000000001,-50,-29,-83,24,-54.0
2020-04-13,south,76.48,72.84,61.92,70.41333333333334,-51,-27,-82,23,-53.333333333333336
2020-04-14,capital,70.41,54.68,27.78,50.95666666666667,-28,4,-57,19,-27.0
2020-04-14,central,79.29,77.14,44.79,67.07333333333334,-13,3,-48,16,-19.333333333333332
2020-04-14,north,88.13,83.0,,,-12,4,-45,14,-17.666666666666668
2020-04-14,zealand,87.52,92.49,59.13,79.71333333333332,1,5,-45,14,-13.0
2020-04-14,south,81.95,84.49,53.8,73.41333333333334,-7,5,-45,14,-15.666666666666666
2020-04-15,capital,73.34,59.31,30.18,54.27666666666667,-33,-7,-56,20,-32.0
2020-04-15,central,81.97,80.26,50.32,70.85000000000001,-22,-5,-46,16,-24.333333333333332
2020-04-15,north,89.0,88.73,,,-21,-3,-44,15,-22.666666666666668
2020-04-15,zealand,88.84,99.06,66.5,84.8,-8,-3,-45,15,-18.666666666666668
2020-04-15,south,84.06,87.32,49.52,73.63333333333334,-16,-3,-43,14,-20.666666666666668
2020-04-16,capital,75.24,62.49,30.24,55.99,-32,-7,-55,19,-31.333333333333332
2020-04-16,central,83.86,83.03,51.93,72.94,-22,-6,-45,16,-24.333333333333332
2020-04-16,north,93.35,98.48,,,-23,1,-41,14,-21.0
2020-04-16,zealand,91.3,99.34,61.61,84.08333333333333,-9,-4,-44,15,-19.0
2020-04-16,south,85.51,91.17,56.29,77.65666666666667,-17,-3,-42,14,-20.666666666666668
